Year,Group,Theme,Placement,Songs,YouTube_Link
1970,Kappa Omega Tau,Magic,1st,,
1971,Kappa Omega Tau,Save The People,1st,,
1972,Kappa Omega Tau,Puppet Man,1st,,
1973,Phi Kappa Alpha,"Sgt. Pepper's Make Your Own Kind of Music Down by the Bandstand Smiling Singing Band",1st,,
1973,Kappa Omega Tau,Lonely Hearts Club,Participated,Hey Jude,
1975,Kappa Omega Tau,Something Coming Up,1st,,
1976,Kappa Omega Tau,Losing my Blues to the Inner City Rhythm,1st,,
1984,Sigma Chi,Basement Full of Blues,1st,,
1985,Kappa Omega Tau,Just Another Cotton-Pickin Day,1st,,
1986,Kappa Omega Tau,We Got To Try,1st,,
1987,Kappa Omega Tau,A Midsummer Knight's Dream,Pigskin,,
1988,Kappa Omega Tau,"Long, Long Way From Home",Pigskin,,
1988,Zeta Tau Alpha,Back to Paradise,Participated,(I've Had) The Time of My Life,
1989,Kappa Omega Tau,I Want You Back,Pigskin,,
1990,Kappa Omega Tau,Higher Love,1st,,
1990,Pi Beta Phi,I Ought to be in the Pictures,Participated,Singin' in the Rain,https://www.youtube.com/watch?v=CaRjgTxEuus
1992,Kappa Omega Tau,Showdown At Sundown,1st,,
1993,Phi Gamma Delta,,1st,,
1993,Phi Kappa Chi,,2nd,,
1993,Kappa Omega Tau,,3rd,,
1994,Phi Gamma Delta,,1st,,
1994,Phi Kappa Chi,,2nd,,
1995,Phi Gamma Delta,,1st,,
1995,Phi Kappa Chi,,2nd,,
1996,Phi Gamma Delta,,1st,,
1997,Kappa Omega Tau,Last Reville,1st,,
1998,Kappa Omega Tau,Thunder at Dawn,1st,,
1999,Chi Omega,,1st,,
2000,Kappa Omega Tau,1849,1st,,
2002,Delta Delta Delta,Ease on Down the Road,1st,,
2002,Kappa Alpha Theta,Greasy Spoon,2nd,,
2002,Kappa Kappa Gamma,Let the Good Times Roll,3rd,,
2002,Chi Omega,,Pigskin,,
2002,Kappa Omega Tau,,Pigskin,,
2002,Kappa Sigma,,Pigskin,,
2002,Pi Beta Phi,,Pigskin,,
2003,Kappa Omega Tau,Boone County,1st,,
2003,Kappa Kappa Gamma & Kappa Sigma,On the Bayou Ball,Participated,,
2004,Phi Kappa Chi,,1st,,
2005,Delta Delta Delta,Gimme That Country Side,1st,,
2005,Alpha Tau Omega & Kappa Chi Alpha,I Love the 80's,2nd,,
2005,Kappa Alpha Theta,Let the Good Times Roll,3rd,,
2006,Kappa Omega Tau,Up The Ladder,1st,,
2006,Sing Alliance,,Pigskin,,
2006,Kappa Kappa Gamma,Meet Me At The Fair,Participated,,
2007,Delta Delta Delta,,1st,,
2007,Kappa Sigma,Taking Out The Trash,1st,,
2007,Sing Alliance,,Pigskin,,
2008,Kappa Kappa Gamma & Kappa Sigma,On the Town,1st,,
2008,Kappa Omega Tau,From the Bayou to the Big Easy,2nd,,
2009,Kappa Omega Tau,Steppin' to the Badside,2nd,,
2009,Sing Alliance,A Latte Love,3rd,,
2009,Alpha Tau Omega,Heroes and Villains,Participated,,
2010,Kappa Omega Tau,The Toys are Back in Town,1st,,
2010,Sing Alliance,A News Sensation,3rd,,
2011,Pi Beta Phi,"Welcome to Your 80's, Ladies",1st,,
2011,Kappa Omega Tau,The Show Must Go On,2nd,,
2011,Delta Delta Delta,,3rd,,
2011,Alpha Tau Omega,,Pigskin,,
2011,Chi Omega & Phi Kappa Chi,,Pigskin,,
2011,Kappa Alpha Theta,,Pigskin,,
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Mercy (Duffy); Be OK (Ingrid Michaelson),
2011,Kappa Sigma,Playin' Around at the Playground,Pigskin,Come Play Away,
2012,Kappa Kappa Gamma & Kappa Sigma,,1st,,
2012,Kappa Omega Tau,Standing Small,2nd,,
2012,Delta Delta Delta & Alpha Tau Omega,,3rd,,
2012,Alpha Chi Omega,Juke Box Heroes,Pigskin,Livin' On a Prayer,
2012,Chi Omega,,Pigskin,,
2012,Phi Kappa Chi,,Pigskin,,
2012,Phi Gamma Delta,,Pigskin,,
2012,Pi Beta Phi,,Pigskin,,
2013,Kappa Omega Tau,Ghosts Call,1st,,
2013,Kappa Sigma,,1st,,
2013,Phi Kappa Chi,,3rd,,
2013,Chi Omega & Phi Gamma Delta,,Pigskin,,
2013,Zeta Tau Alpha,,Pigskin,,
2013,Alpha Tau Omega,,Pigskin,,
2013,Sing Alliance,,Pigskin,,
2013,Pi Beta Phi,,Pigskin,,
2014,Kappa Omega Tau,The Battle Within,1st,,
2014,Delta Delta Delta,,2nd,,
2014,Alpha Tau Omega,,3rd,,
2014,Alpha Chi Omega,,Pigskin,,
2014,Kappa Sigma,,Pigskin,,
2014,Kappa Kappa Gamma,,Pigskin,,
2014,Kappa Alpha Theta,,Pigskin,,
2014,Pi Beta Phi & Phi Kappa Chi,,Pigskin,,
2015,Phi Kappa Chi,Dust Bowl Days,1st,,https://www.youtube.com/watch?v=nRjHFQCsJio
2015,Kappa Omega Tau,The Grand Hotel,2nd,,
2015,Pi Beta Phi,Back in the Habit,3rd,,
2015,Alpha Tau Omega,,Pigskin,,
2015,Chi Omega,,Pigskin,,
2015,Delta Delta Delta,,Pigskin,,
2015,Kappa Kappa Gamma,,Pigskin,,
2015,Kappa Sigma,,Pigskin,,
2016,Pi Beta Phi,Meet Me in Ze Alps,1st,,
2016,Kappa Omega Tau,Setting Sail,2nd,,
2016,Chi Omega,Lunch Lady Land,3rd,,
2016,Kappa Kappa Gamma & Kappa Sigma,Come Dance With Me,Pigskin,,
2016,Delta Delta Delta,Can You Dig It?,Pigskin,,
2016,Phi Kappa Chi,Workin' on a Building,Pigskin,,
2016,Alpha Chi Omega,The Alpha Chi Coal Mining Company,Pigskin,,
2016,Alpha Tau Omega,The King of Promise,Pigskin,,
2016,Kappa Chi Alpha & Beta Upsilon Chi,Wonderful World,Participated,What a Wonderful World,
2016,Kappa Alpha Theta & Sigma Chi,"Sincerely Yours, Thetasig",Participated,,
2016,Pi Kappa Phi,The Lost City,Participated,,
2016,Zeta Tau Alpha,We Have Awoken,Participated,Chandelier (Sia),
2016,Sing Alliance,Two Tickets Please,Participated,,
2016,Baylor Chamber of Commerce,Time for the Show,Participated,,
2016,Beta Theta Pi,Derailed,Participated,,
2016,Delta Tau Delta,Lost in the Jungle,Participated,Tarzan (Disney),
2016,Alpha Delta Pi,Keep on Survivin',Participated,,
2016,Phi Gamma Delta,The Dance of the Dead,Participated,Thriller (Michael Jackson),
2017,Kappa Omega Tau,Bein' Green,1st,,
2017,Phi Kappa Chi,Fool's Gold,2nd,,
2017,Chi Omega,Ice Ice Baby,3rd,,
2017,Alpha Chi Omega & Pi Kappa Phi,,Pigskin,,
2017,Delta Delta Delta,,Pigskin,,
2017,Kappa Alpha Theta,,Pigskin,,
2017,Kappa Kappa Gamma,,Pigskin,,
2017,Pi Beta Phi,,Pigskin,,
2018,Pi Beta Phi & Phi Kappa Chi,The Tortoise and the Hare,1st,,
2018,Kappa Kappa Gamma,Workin' at the Carwash,2nd,,https://www.youtube.com/watch?v=kWKEzFr_7pI
2018,Delta Delta Delta,Back to Our Roots,3rd,,
2018,Chi Omega,Shiny Teeth and Me,Pigskin,,
2018,Kappa Omega Tau,Sweet Dreams,Pigskin,,
2018,Alpha Tau Omega,Life Ain't Half Dad,Pigskin,,
2018,Sing Alliance,Sweatin' With Sing Alliance,Pigskin,,
2018,Kappa Alpha Theta,Alley Cats,Pigskin,,
2018,Alpha Delta Pi,When Life Gives You Lemons,Participated,,
2018,Alpha Chi Omega,Sky Full of Stars,Participated,,
2018,Pi Kappa Phi,Greasers,Participated,,
2018,Beta Theta Pi,Beta Our Guest,Participated,,
2018,Phi Gamma Delta,Foos'n Around,Participated,,
2018,Delta Tau Delta,Wizard School,Participated,,
2018,Sigma Chi,Texas Revolution,Participated,,
2018,Zeta Tau Alpha,Desktop Daydream,Participated,,
2018,Kappa Chi Alpha,Singing in the Rain,Participated,,
2019,Kappa Omega Tau,The Night Before Christmas,1st,Look Down (Les Misérables),
2019,Chi Omega,Can't Stop the Bees,2nd,Honey Honey (ABBA),
2019,Kappa Chi Alpha,Home Sweet Home,3rd,,
2019,Alpha Tau Omega,,Pigskin,,
2019,Delta Delta Delta & Alpha Tau Omega,Rockin' New Year's Eve,Pigskin,,https://www.youtube.com/watch?v=Xj7-gb_-rDA
2019,Kappa Kappa Gamma,Kappa Air,Pigskin,,https://www.youtube.com/watch?v=lVMlZFR7wiU
2019,Kappa Sigma,Finding Bigfoot,Pigskin,Kill the Beast,
2019,Phi Kappa Chi,The New Kid on the Block,Pigskin,,
2019,Zeta Tau Alpha,Livin' La Vida Mocha,Pigskin,That's Not My Name (The Ting Tings),
2019,Kappa Alpha Theta,Where Ewe Lead,Participated,,https://www.youtube.com/watch?v=pryctqYdnxg
2019,Pi Beta Phi,Tick Tock Cuckoo Clock,Participated,,
2019,Alpha Chi Omega,Soap Opera,Participated,,
2019,Sigma Chi,Time Warp,Participated,,
2019,Sing Alliance,Framed,Participated,,
2019,Alpha Delta Pi,Coming to You Live from ADPI,Participated,Good Morning Baltimore; Shut Up and Drive (Rihanna),
2019,Pi Kappa Phi,Galactic Slam,Participated,Uprising (Muse),
2019,Beta Theta Pi,Jurassic Waco,Participated,,
2019,Delta Tau Delta,Deltwatch,Participated,,
2019,Phi Gamma Delta,Phi Gam's Island,Participated,Gilligan's Island Theme,
2019,Beta Upsilon Chi,Batter Up!,Participated,The Star Spangled Banner,
2020,Kappa Kappa Gamma & Kappa Sigma,The Ship of Dreams,1st,Beyond the Sea,https://www.youtube.com/watch?v=ylvHyZUpvfc
2020,Phi Kappa Chi,So Tied Up,2nd,,
2020,Sing Alliance,Stupid Cupid,3rd,,https://www.youtube.com/watch?v=4_a4hd9m6ow
2020,Sigma Alpha Epsilon & Alpha Phi,Saphi Can Do It!,Participated,I Need Somebody; Woman Up,
2020,Kappa Omega Tau,The Magic of Mardi Gras,Participated,High Hopes; The Greatest Show,
2020,Chi Omega,Maid to Mooove,Participated,,
2020,Alpha Tau Omega,A Lumberjack Soundtrack,Participated,,
2020,Kappa Chi Alpha,Are We There Yet?,Participated,Phineas and Ferb Theme; I Want Candy,
2020,Delta Delta Delta,"Starlight, Star Bright",Participated,Hey Now,
2020,Alpha Chi Omega,The Ghouls Next Door,Participated,,https://www.youtube.com/watch?v=t5ryZ96qgqE
2020,Phi Gamma Delta,Movers and Groovers,Participated,,
2020,Kappa Alpha Theta,The Secret Life of Kats and Dogs,Participated,,
2020,Delta Tau Delta,Delt Jailbreak,Participated,,
2020,Alpha Delta Pi,Wonderland: A Change of Heart,Participated,,
2020,Beta Upsilon Chi,Full Throttle,Participated,,
2020,Pi Beta Phi,Meet the Phlinstones,Participated,,
2020,Multicultural Alliance,Baylor Homecoming: Another Side,Participated,Lose You to Love Me,
2020,Zeta Tau Alpha,Ring by Sing,Participated,,
2022,Kappa Omega Tau,It's a Gnome's World,1st,Rapper's Delight (The Sugarhill Gang); This Is How We Roll (The Jonas Brothers),https://www.youtube.com/watch?v=qb88KZ9KKXk
2022,Delta Delta Delta,We Got the Reef,2nd,,
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,,
2022,Alpha Tau Omega,,Pigskin,,
2022,Chi Omega,Taken for Granite,Pigskin,I Will Survive,https://www.youtube.com/watch?v=rL69MevJPmo
2022,Kappa Sigma,,Pigskin,,
2022,Alpha Phi,Magic in Phi,Pigskin,Magic (B.o.B),https://www.youtube.com/watch?v=dzWISPniVac
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,,
2022,Zeta Tau Alpha,All the Birds of a Feather,Participated,,https://www.youtube.com/watch?v=Yxdp_7J8MsA
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Come on Eileen,https://www.youtube.com/watch?v=BtkhzXsmZos
2023,Pi Beta Phi,Be My Girl,2nd,Material Girl (Madonna); Someone Like You (Adele),https://www.youtube.com/watch?v=drDiUpqGM0o
2023,Zeta Tau Alpha,Experiment Z,3rd,,
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,,https://www.youtube.com/watch?v=-zvoU_Pou7c
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,,https://www.youtube.com/watch?v=GKhwRxRBqlE
2023,Kappa Omega Tau,Against All Oz,Pigskin,,
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,,https://www.youtube.com/watch?v=Pb4IWvLrudk
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,,https://www.youtube.com/watch?v=cxgz573hn8A
2023,Beta Theta Pi,Man Or Mathlete,Participated,Man or Muppet (Jason Segel),https://www.youtube.com/watch?v=7Xtathu4KsE
2023,Alpha Phi,Hotel Phiasco!,Participated,,
2023,Delta Tau Delta,Under the Big Top,Participated,,
2023,Sigma Alpha Epsilon,The Night Shift,Participated,,https://www.youtube.com/watch?v=Z9YESoY_pMo
2023,Alpha Delta Pi,I30-pi,Participated,,https://www.youtube.com/watch?v=2-D0uJrKrv0
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Everybody (Backstreet Boys); I Just Died In Your Arms Tonight (Cutting Crew),
2024,Chi Omega,Caught Red-Handed,2nd,House of the Rising Sun; Hit the Road Jack,https://www.youtube.com/watch?v=T9ZD2HJgLIs
2024,Phi Kappa Chi,The Good Newsies,3rd,Signed Sealed & Delivered; Proud Mary,
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,Man I Feel Like a Woman (Shania Twain); SOS (Rihanna); Girls Just Wanna Have Fun,https://www.youtube.com/watch?v=emG7i1bKiqM
2024,Delta Delta Delta,Weather or Not!,Pigskin,Blown Away (Carrie Underwood),https://www.youtube.com/watch?v=fFao6Gq3dms
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,New York New York; Dance the Night,https://www.youtube.com/watch?v=fS1CEuJfpQk
2024,Sing Alliance,The Buzz at the Bee,Pigskin,Counting Stars; No Scrubs; Bad Blood; SOS (ABBA),https://www.youtube.com/watch?v=AebHYP44ozQ
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,Ave Maria; Get'cha Head In The Game; My Way,
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,,https://www.youtube.com/watch?v=a1d0noBwkTU
2024,Beta Upsilon Chi & Kappa Chi Alpha,,Participated,,
2024,Beta Theta Pi,Fratty-Shack,Participated,,
2024,Sigma Alpha Epsilon,Cold Feet,Participated,,https://www.youtube.com/watch?v=seNh4nC6Dyc
2024,Pi Beta Phi,Our State Fair,Participated,,https://www.youtube.com/watch?v=9Fh-cJaiwFg
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,,https://www.youtube.com/watch?v=mpn5nO8A_Wg
2024,Zeta Tau Alpha,Panic at the Disco,Participated,,https://www.youtube.com/watch?v=GOyAfAmwty8
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,,https://www.youtube.com/watch?v=A4UmJMAJGXI
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,,https://www.youtube.com/watch?v=QcasR7nuKU4
2025,Chi Omega,Back on Track,1st,,https://www.youtube.com/watch?v=MBEyLbk3AXI
2025,Alpha Tau Omega,Underneath the Tree,2nd,Run Rudolph Run; Larger Than Life,
2025,Delta Delta Delta,When Pigs Fly,3rd,Goodbye Yellow Brick Road; I'm Still Standing,https://www.youtube.com/watch?v=V59Q8cs7XYo
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Jolene; Viva La Vida,https://www.youtube.com/watch?v=-TMdCnVAof8
2025,Kappa Kappa Gamma,Sweet Letter O' Mine,Pigskin,Sweet Child O' Mine; Hard Times; Please Mr. Postman; It's Raining Men,
2025,Kappa Omega Tau,Night at the Exhibit,Pigskin,Go the Distance,
2025,Pi Beta Phi & Phi Kappa Chi,That's Life!,Pigskin,It's My Life,https://www.youtube.com/watch?v=R-P3QY-PZnk
2025,Zeta Tau Alpha,Music Box Breakout,Pigskin,Mother Knows Best; Set Fire to the Rain; Dancing with Myself,
2025,Tau Kappa Epsilon,Sing for the Fences!,Participated,Don't Fear The Reaper,
2025,Sigma Chi,Careful What You Wish For,Participated,Toxic; Freedom,
2025,Delta Tau Delta,Rumble in Rome,Participated,Renegade (Styx); Livin la Vida Loca,
2025,Alpha Phi,Escaping Ivy Manor,Participated,Smooth Criminal; Break Free,
2025,Phi Gamma Delta,Friendships Bring Color to Life,Participated,True Colors,
2025,Alpha Delta Pi,The Diamond Salon,Participated,Please Please Please (Sabrina Carpenter); Never Gonna Give You Up,
2025,Sing Alliance,It's All in the Cards,Participated,The Greatest Show; Do You Believe in Magic,
2025,Beta Upsilon Chi,Gone Fishin',Participated,,
2025,Kappa Sigma,Back in Black,Participated,,
2025,Kappa Alpha Theta,It Takes Two,Participated,Imagine,https://www.youtube.com/watch?v=grpjISE9Fzw
2026,Beta Upsilon Chi,Grill of Rights,1st,It's the Hard-Knock Life,
2026,Phi Kappa Chi,Cold as Ice!,2nd,Let It Snow; Hot in Herre,
2026,Delta Delta Delta,When A Mouse Eats A Cookie,3rd,Just Can't Get Enough; Cell Block Tango,
2026,Chi Omega & Alpha Tau Omega,Careful What You Witch For,Pigskin,Witchy Woman; Disturbia,
2026,Kappa Kappa Gamma,Together We Can!,Pigskin,,
2026,Alpha Chi Omega,Catch Her If You Can,Pigskin,,
2026,Kappa Omega Tau,Banker's Paradise,Participated,,
2026,Alpha Phi,No Strings Attached,Participated,Don't Stop 'til You Get Enough; Valerie; Blue Suede Shoes,
2026,Delta Tau Delta,Model Citizens,Participated,Poker Face; Poison,
2026,Kappa Chi Alpha & Beta Theta Pi,Hollywood Breakdown,Participated,Popular; Applause; Fabulous,
2026,Sing Alliance,Psst…I See Dead People,Participated,Calling All The Monsters; Ain't It Fun; Not Like Us,
2026,Kappa Alpha Theta,London's Calling,Participated,,
2026,Kappa Alpha Order,Baylor's First Dance,Participated,Smells Like Teen Spirit; Iris,
2026,Pi Beta Phi,Out of the Box,Participated,,
2026,Zeta Tau Alpha & Sigma Chi,The Love Show,Participated,,
2026,Kappa Sigma,So Fresh So Clean,Participated,,
2026,Alpha Delta Pi,Flight 1851,Participated,,
2026,Sigma Alpha Epsilon,Bear-ly Made It,Participated,,
