Year,Group,Theme,Placement,Songs,YouTube_Link
2023,Alpha Delta Pi,I30-pi,Participated,Shut Up and Drive (Rihanna); Fire Burning (Sean Kingston); Dance of the Little Swans (Tchaikovsky); You'll Always Find Your Way Back Home (Hannah Montana); Hard Working Man (Brooks & Dunn); Workin on the Highway (Bruce Springsteen); Take on Me (Ha),https://www.youtube.com/watch?v=2-D0uJrKrv0
2023,Alpha Phi,Hotel Phiasco!,Participated,Zack and Cody Theme Song (Cast of Suite Life of Zack and Cody); Celebration (Kool and the Gang); You Make Me Feel (Cobra Starship); Dancing in the Kitchen (Tim Kubart); Big Girls Don't Cry (Fergie); Mr. Lonely (Akon); Feel it Still (Portugal. The Man); Be Our Guest (Disney),https://www.youtube.com/watch?v=zT0ILvdYalg
2023,Beta Theta Pi,Man Or Mathlete,Participated,Fantasy (Mariah Carey); Changes (David Bowie); All-Star (Smash Mouth); You Belong with Me (Taylor Swift); I Won't Say (I'm in Love) (Disney / Hercules Cast); Man or a Muppet (Muppets Cast); Want U Back (Cher Lloyd),https://www.youtube.com/watch?v=7Xtathu4KsE
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,"Somethings Got a Hold on Me (Christina Aguilera); Sharp Dressed Man (ZZ Top); Oh, Pretty Woman (Roy Orbison); Johnny B. Goode (Chuck Berry); Come on Eileen (Dexys Midnight Runners); 24K Magic (Bruno Mars); Rockin’ on Top of the World (Steven Tyler)",https://www.youtube.com/watch?v=BtkhzXsmZos
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Real Gone (Sheryl Crow); R.O.C.K. in the USA (John Mellencamp); DAnger Zone (Kenny Loggins); Rolling in the Deep (Adele); Don't Stop Me Now (Queen); Good to be Alive (Hallelujah) (Andy Grammar),https://www.youtube.com/watch?v=-zvoU_Pou7c
2023,Delta Tau Delta,Under the Big Top,Participated,"Jungle (X Ambassadors); Circus (Britney Spears); Entrance of the Gladiators (Julius Fučík); Welcome to the Party (Diplo, French Montana, Lil Pump); Forget You (Cee Lo Green); Leave a Light On (Tom Walker); Rocket Man (Elton John); Show Goes On (Lupe Fiasco)",https://www.youtube.com/watch?v=jqlXH4j0C0w
2023,Kappa Alpha Theta,,Participated,Baba O-Riley (The Who); Ready or Not (The Delfonics); Everybody Wants to Rule the World (Tears for Fears); Whatever it Takes (Imagine Dragons); Running Up That Hill (Kate Bush); Sorry Not Sorry (Demi Lovato); Blinding Lights (The Weeknd); Rather Be (Clean Bandit),https://www.youtube.com/watch?v=u9tVmuhApQo
2023,Kappa Chi Alpha,,Participated,Chim-Chim-er-Ree (East Wind) (Saving Mr. Banks); Takin' Care of Business (Bachman-Turner Overdrive); I Ain't Worried (One Republic); I Want You Back (The Jackson 5); One Way or Another (Blondie); Spoonful of Sugar (Mary Poppins Musical Cover); Any Way You Want It (Journey); Supercalifragilistic (The Hit rew),
2023,Kappa Kappa Gamma,Kappa HQ,Pigskin,Welcome to the Working Week (Elvis Costello); Manic Monday (The Bangles); A Hard Day's Night (The Beatles); Livin' on a Prayer (Bon Jovi); She Works for the Money (Donna Summer); Walkin' on Sunshine (Katrina & the Waves),https://www.youtube.com/watch?v=GKhwRxRBqlE
2023,Kappa Omega Tau,Against All Oz,Pigskin,"Feeling Good (Michael Buble); Bright Lights, Bigger City (Cee Lo Green); Fortunate Son (Creedence Clearwater Revival); Do I Wanna Know? (Arctic Monkeys); Glory (John Legend (From Motion Picture Selma)); Cold as Ice (Foreigner); Freedom 90' (George Michael)",https://www.youtube.com/watch?v=cqgDSEWCaac
2023,Kappa Sigma,,Participated,Suit & Jacket (Judah & the Lion); Born to Run (American Authors); Mountain Sound (Monsters & Men); Spirit (Judah & the Lion); Bring it on Home (American Authors),
2023,Phi Gamma Delta,,Participated,Start Me Up (The Rolling Stones); Blitzkreig Bop (The Ramones); Hey Ya! (The OutKast); Footloose (Kenny Loggins); We are Young (Fun.),https://www.youtube.com/watch?v=naAk_rHByeY
2023,Phi Kappa Chi,,Participated,Cold (Chris Stapleton); Trouble (Elvis Presley); Something's Got to Give (Labrinth); All Things New (Big Daddy Weave); Power of Love (Ben Rector),https://www.youtube.com/watch?v=Ex27bhbFmP8
2023,Pi Beta Phi,Be My Girl,2nd,Take Me Out (Franz Ferdinand); Are You Gonna Be My Girl? (Jet); Ladies's Choice (From Hairspray the Musical); Material Girl (Madonna); Rumor Has It (Adele); Someone Like You (Adele); River Deep Mountain High (Tina Turner),https://www.youtube.com/watch?v=drDiUpqGM0o
2023,Sigma Alpha Epsilon,The Night Shift,Participated,Nigh Shift (Jon Pardi); Killer Queen (Queen); Crocodile Rock (Elton John); Twist and Shout (The Beatles); Hound Dog (Elvis Presley); From Now On (The Greatest Showman),https://www.youtube.com/watch?v=Z9YESoY_pMo
2023,Sigma Chi,"The Good, The Bad, and The...",Pigskin,Great Balls of Fire (Jerry Lee Lewis); Flashing Lights (Kanye West); Boot Scootin' Bougie (Brooks and Dunn); We're Not Gonna Take It (Twisted Sister); Boulevard of Broken Dreams (Green Day); Total Eclipse of the Heart (Bonnie Tyler); We Belong (Pat Benatar),https://www.youtube.com/watch?v=Pb4IWvLrudk
2023,Sing Alliance,Some Bunny's In Trouble,Pigskin,Heigh Ho (Bunny Berigan/ Dwarf's Marching Song from Disney's Snow White); Dig a Little Deeper (Sierra Nelson); Sweet Dreams (Eurthymics); Beat It (Michael Jackson); I Did Something Bad (Taylor Swift); Why Can't We Be Friends? (War); We Found Love (Rihanna & Calvin Harris),https://www.youtube.com/watch?v=cxgz573hn8A
2023,Zeta Tau Alpha,Experiment Z,3rd,"Workin' Day & Night (Michael Jackson); Monster Mash (Bobby ""Boris"" Pickett); Another One Bites the Dust (Queen); Don't Stop Believin' (Journey); Come Alive (From the Greatest Showman); Thriller (Michael Jackson); I'm In Love with a Monster (Fifth Harmony); I'm So Excited (The Pointer Sisters)",https://www.youtube.com/watch?v=iEbTi9UtfA4
2024,Alpha Chi Omega,The Show Must Go On,Pigskin,The Winner Takes It All (ABBA); Baby I'm a Star (Prince); Man I Feel like a Woman (Shania Twian); SOS (Rihanna); Girls Just Want To Have Fun (Miley Cyrus / Cyndi Lauper); I Want it All (High School Musical 3 Cast),https://www.youtube.com/watch?v=emG7i1bKiqM
2024,Alpha Delta Pi,,Participated,I Wanna Be A Lifeguard (Blotto); Surfin USA (The Beach Boys); Shark attack (John Williams); Shark attack (Surf Punks); I’m always here (Jimi Jamison); Sorry (Justin Bieber); All for one (High School Musical); Surf Crazy (Spencer Lee (Teen Beach Movie)),https://www.youtube.com/watch?v=2A5DzTkjVC0
2024,Alpha Phi,Troop 1872: Sweet as Can Phi,Participated,Better When I'm Dancin (Meghan Trainor); Wouldn't It Be Nice (The Beach Boys); Pink (Lizzo); Push it to the Limit (Corbin Bleu / High School Musical); We're All in this Together (High School Musical); Best Song Ever (One Direction); Never Say Never (Justin Bieber); We Are Never Getting Back Together (Taylor Swift),https://www.youtube.com/watch?v=A4UmJMAJGXI
2024,Alpha Tau Omega,Nothing Set In Stone,Pigskin,"Higher Ground (Stevie Wonder); Made from the Stars (Aloe Blacc); Fly As Me (Silk Sonic (Bruno Mars)); Hold On, I'm Coming (Sam and Davis); War (Edwin Starr); Get Down Tonight (KC and the Sunshine Band)",https://www.youtube.com/watch?v=a1d0noBwkTU
2024,Beta Theta Pi,Fratty-Shack,Participated,Bet On It (High School Musical); I Don't Dance (High School Musical); Don't You Want Me (Human League); Should I Stay or Should I Go (The Clash); Can't Touch This (MC Hammer); Believer (Imagine Dragons),
2024,Beta Upsilon Chi & Kappa Chi Alpha,,Participated,,https://www.youtube.com/watch?v=P7xBCI8Nq9w
2024,Chi Omega,Caught Red-Handed,2nd,House of the Rising Sun (The Animals); Rockin Robin (Jackson 5); Born to be Wild (Steppenwolf); Would I Lie to You (The Eurythmics); Hit the Road Jack (Ray Charles); Zero to Hero (Hercules Cast),https://www.youtube.com/watch?v=T9ZD2HJgLIs
2024,Delta Delta Delta,Weather or Not!,Pigskin,Reach Out I'll Be there (Gloria Gaynor); Blown Away (Carrie Underwood); Barbie Girl (Aqua); I Got the Music in Me (Kiki Dee); No More Tears (Barbra Streisand & Donna Summer),https://www.youtube.com/watch?v=fFao6Gq3dms
2024,Delta Tau Delta,,Participated,Whip It (Devo); Sexy Back (Justin Timberlake); I'm Gonna Be (Proclaimers); Push It To The Limit (Paul Engemann); Radioactive (Imagine Dragons); Hearts On Fire (John Cafferty),https://www.youtube.com/watch?v=vRhVamu_2Ps
2024,Kappa Alpha Order,,Participated,When The Saints Go Marching In (Louis Armstrong); Bourbon Street (Jeff Tuohy); Voodoo Child (Jimi Hendrix); Heads Will Roll (Yeah Yeah Yeahs); Fight For Your Right (Beastie Boys); Stay Stay Stay (Taylor Swift); Ballroom Blitz (Sweet),
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,"West End Blues (Louis Armstrong); Theme from New York, New York (Frank Sinatra); Please Don't Stop the Music (Rihanna); Evacuate the Dance Floor (Casandra); Pump It (Black Eyed Peas); All of the Lights (Kanye West); Dance the Night (Dua Lipa); Sing, Sing, Sing (Benny Goodman); Uptown Girl (Billy Joel)",https://www.youtube.com/watch?v=fS1CEuJfpQk
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Friends On The Other Side (Princess and The Frog Cast); Pure Imagination (Charlie and the Chocolate Factory); Another Day of Sun (La La Land); Wildest Dreams (Taylor Swift); Wonderland (Taylor Swift); Bad to the Bone (George Thoroughgood and The Destroyers); Dream On (Aerosmith); Carry on Wayward Son (Kansas),https://www.youtube.com/watch?v=P7xBCI8Nq9w
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,Saturday in the Park (Chicago); I Want You To Want Me (Cheap Trick); Sir Duke (Stevie Wonder); Have You Ever Seen The Rain (Creedence Clearwater Revival); You Can't Hurry Love (The Supremes); Right Back Where We Started (Maxine Nightingale); This Will Be (An Everlasting Love) (Natalie Cole),https://www.youtube.com/watch?v=mpn5nO8A_Wg
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Hard to Handle (Black Crows); Sweet Gingerbread Man (Sammy Davis Jr); Everybody (Backstreet Boys); Can You Feel It (The Jackson 5); Boy Are Back In Town (The Bus Boys); I Feel Better (Gotye); I Just Died In Your Arms (Cutting Crew),https://www.youtube.com/watch?v=Q81BgO4zU28
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Wellerman (The Longest Johns); Help! (Beatles); Ain’t No Mountain High Enough (Marvin Gaye); Eye of the Tiger (Survivor); Safe and Sound (Capitol Cities); Brandy (You’re a Fine Girl) (Looking Glass),https://www.youtube.com/watch?v=QcasR7nuKU4
2024,Phi Kappa Chi,The Good Newsies,3rd,"Land Of 1000 Dances (Wilson Pickett); Go Tell It To The Mountian (Josh Turner); Signed, Sealed, Delivered (Stevie Wonder); Paint It Black (Rolling Stones); Tell Her About It (Billy Joel); Think (Aretha Franklin); Proud Mary (Tina Turner)",https://www.youtube.com/watch?v=m-mFBkgpe8Q
2024,Pi Beta Phi,Our State Fair,Participated,Let's Go Crazy (Prince); Misery (Maroon 5); Troublemaker (Olly Murs); Welcome To The Jungle (Guns n' Roses); You May Be Right (Billy Joel); Runaway Baby (Bruno Mars); Uptight (Everything’s Alright) (Glee Cast / Stevie Wonder),https://www.youtube.com/watch?v=9Fh-cJaiwFg
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Suit and Tie (Justin Timberlake); Runaway (Bon Jovi); Sh-Boom (The Chords); Hopelessly Devoted to You (Glee Cast); Love Runs Out (OneRepublic); Midnight Sky (Miley Cyrus),https://www.youtube.com/watch?v=seNh4nC6Dyc
2024,Sing Alliance,The Buzz at the Bee,Pigskin,Counting Stars (One Republic); I Was Made For Loving You (Kiss); No Scrubs (TLC); Goodbye Stranger (Supertramp); Bad Blood (Taylor Swift); SOS (ABBA); Since You've Been Gone (Kelly Clarkson),https://www.youtube.com/watch?v=AebHYP44ozQ
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,Mambo Italiano (Dean Martin); Fly Me To The Moon (Frank Sinatra); That's Amore (Dean Martin); Ave Maria (Renee Fleming / Franz Schubert); Get Cha Head In The Game (High School Musical),https://www.youtube.com/watch?v=EUV_UOs7WkQ
2024,Zeta Tau Alpha,Panic at the Disco,Participated,"The Chain (Fleetwood Mac); Boogie Wonderland (Earth, Wind, & Fire); Boogie Shoes (Glee Cast / KC & The Sunshine Band); All Night Dancin (The Jacksons); Hungry like the wolf (Duran Duran); Get Down On It (Kool & the Gang); What I like About You (The Romantics); I Wanna Dance With Somebody (Whitney Houston); The Safety Dance (Men Without Hats)",https://www.youtube.com/watch?v=GOyAfAmwty8
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Jolene (Dolly Parton); Seven Nation Army (The White Stripes); Revenge Party (Mean Girls); These Boots Are Made for Walking (Nancy Sinatra); Ces Bottes Sont Faites Pour Marcher (Eileen); Edge of Glory (Lady Gaga); Maniac (Michael Sembello); Viva La Vida (Coldplay),https://www.youtube.com/watch?v=-TMdCnVAof8
2025,Alpha Delta Pi,The Diamond Salon,Participated,New Day (Alicia Keys); Kids in America (Kim Wilde); Venus (Bananarama); Please Please Please (Sabrina Carpenter); Never Gonna Give You Up (Rick Astley); Hair Up (Trolls); Hair (Lady Gaga),
2025,Alpha Phi,Escaping Ivy Manor,Participated,Mad World (Gary Jules); Break Free (Ariana Grande); The House is Haunted (Mark Almond); I'm Coming Out (Diana Ross); I Think We're Alone Now (Tiffany); Smooth Criminal (Michael Jackson); Tainted Love (Soft Cell),https://www.youtube.com/watch?v=N9JC80CGxV4
2025,Alpha Tau Omega,Underneath the Tree,2nd,Larger Than Life (Backstreet Boys); Maneater (Hall & Oates); Free Bird (Lynyrd Skynyrd); Dance Machine (The Jackson 5); The Nutcracker (Act 1: March) (London Symphony Orchestra (George Balanchine)); You Don't Mess Around With Jim (Jim Croce); Papa's Got A Brand New Bag (James Brown); Run Rudolph Run (Chuck Berry); Underneath the Tree (Kelly Clarkson),https://www.youtube.com/watch?v=UstbC_xDAyk
2025,Beta Upsilon Chi,Gone Fishin',Participated,Fishin' in the Dark (Nitty Gritty Dirt Band); Up Down (Morgan Wallen); Jesus Take the Wheel (Carrie Underwood); Shut Up and Fish (Maddy & Tay); I'm Gonna Miss Her (Brad Paisley); Careless Whisper (George Michael); All Summer Long (Kid Rock),https://www.youtube.com/watch?v=NpBWxgJDDVU
2025,Chi Omega,Back on Track,1st,Trashin' the Camp (Phil Collins); Vacation (The Go Go's); Ease on Down the Road (The Wiz); Crazy Train (Ozzy Ozborne); Move Your Feet (Junior Senior); Come So Far (Got So Far to Go) (Hairspray (movie version)),https://www.youtube.com/watch?v=MBEyLbk3AXI
2025,Delta Delta Delta,When Pigs Fly,3rd,Fame (Irene Cara); Down at the Twist and Shout (Mary Chapin Carpenter); Crazy In Love (Beyonce/Jay-Z); Does Your Mother Know (ABBA); I'm Still Standing (Taron Egerton); You Can't Stop the Beat (Glee Cast (Hairspray the Musical)); Goodbye Yellow Brick Road (Elton John),https://www.youtube.com/watch?v=V59Q8cs7XYo
2025,Delta Tau Delta,Rumble in Rome,Participated,Renegade (Styx); Bad (Michael Jackson); Livin' La Vida Loca (Ricky Martin); Abracadabra (Steve Miller Band); Cooler Than Me (Mike Posner); It Ain't Over til It's Over (Lenny Kravitz),
2025,Kappa Alpha Theta,It Takes Two,Participated,Bad Day (Daniel Powter); Me Too (Meghan Trainor); Mamma Knows Best (Jessi J); Bad Moon Rising (Creedence Clearwater Revival); Wanna Be Startin' Somethin' (Michael Jackson); Imagine (John Lennon); It Takes Two (Rob Base & DJ EZ Rock); I'm Alright (Kenny Loggins),https://www.youtube.com/watch?v=grpjISE9Fzw
2025,Kappa Kappa Gamma,Sweet Letter O' Mine,Pigskin,Please Mr. Postman (The Marvelettes); Sweet Child O' Mine (Guns n' Roses); Hard Times (Paramore); I Want It That Way (Backstreet Boys); Don't You Worry 'Bout a Thing (Tori Kelly); It's Raining Men (The Weather Girls),https://www.youtube.com/watch?v=MSz3xDygI7s
2025,Kappa Omega Tau,Night at the Exhibit,Pigskin,It's Your Thing (Isley Brothers); Go the Distance (Vanderbilt Melodores); Jailhouse Rock (Elvis Presley); Can't Always Get What You Want (The Rolling Stones); Soul Man (Sam and Dave); How You Like Me Now (The Heavy); Wiegenlied Op. 49 No. 4 (Johannes Brahms),https://www.youtube.com/watch?v=q7netmzE448
2025,Kappa Sigma,Back in Black,Participated,Mr. Blue Sky (Electric Light Orchestra); Somebody's Watching Me (Rockwell); Intergalactic (Beastie Boys); 25 or 6 or 4 (Chicago); Come Together (The Beatles); The Boys are Back in Town (Thin Lizzy),https://www.youtube.com/watch?v=RrkLRnXvhzE
2025,Phi Gamma Delta,Friendships Bring Color to Life,Participated,Money (Pink Floyd); One (Three Dog Night); True Colors (Marina and the Diamonds); We're Going to Be Friends (The White Stripes); Shout (Tears for Fears); The Middle (Jimmy Eat World); Don't You Worry Child (Swedish House Mafia),https://www.youtube.com/watch?v=xKgyk3jboBQ
2025,Pi Beta Phi & Phi Kappa Chi,That's Life!,Pigskin,That's Life (Frank Sinatra); All Shook Up (Elvis Presley); Wings (Glee Cast (Little Mix)); It's My Life (Bon Jovi); Go Your Own Way (Fleetwood Mac); Lead Me On (Chandler Moore); For Once in My Life (Stevie Wonder); Faith (Stevie Wonder & Ariana Grande); Gimme Some Lovin' (Blues Brothers),https://www.youtube.com/watch?v=R-P3QY-PZnk
2025,Sigma Chi,Careful What You Wish For,Participated,"Freedom (Pharrell Williams); Can't Take My Eyes Off of You (Frankie Valle); Money (That's What I Want) (Barrett Strong); Good Tonight (Daniel Pemberton); Oogie Boogie Song (Ed Ivory, Ken Page); The Other Side of Hollywood (Julie and the Phantoms Cast); Toxic (Britney Spears); Magic Carpet Ride (Steppenwolf)",https://www.youtube.com/watch?v=zop7FDWx_Lk
2025,Sing Alliance,It's All in the Cards,Participated,"The Greatest Show (The Greatest Showman); Do You Believe in Magic? (The Lovin' Spoonful); Party Rock Anthem (LMFAO, Lauren Bennett, Goon Rock); You Shook Me All Night Long (AC/DC); Baby One More Time (Britney Spears); Beggin' (Maneskin); I Still Haven't Found What I'm Lookin' For (U2); You're the One That I Want (Grease (John Travolta, Olivia Newton John)); It's Gonna Be Me (*NSYNC)",https://www.youtube.com/watch?v=oKAO2WK-qYI
2025,Tau Kappa Epsilon,Sing for the Fences!,Participated,Running Down a Dream (Tom Petty); School's Out (Alice Cooper); Centerfield (John Fogerty); Feels Like the First Time (Foreigner); (Don't Fear) The Reaper (Blue Oyster Cult); Green Onions (Booker T. & the MGs); Playing With the Boys (Kenny Loggins),https://www.youtube.com/watch?v=aNU6yv1j5sU
2025,Zeta Tau Alpha,Music Box Breakout,Pigskin,There's No Business Like Show Business (Ethel Merman (Annie Get Your Gun Musical)); Say a Little Prayer for You (Tori Kelly); You Keep Me Hangin' On (Kim Wilde (The Supremes)); Mother Knows Best (Donna Murphy (Tangled soundtrack)); Set Fire to the Rain (Adele); Freedom (Beyonce); Dancing With Myself (Billy Idol),https://www.youtube.com/watch?v=_iFTkFelZCY
2026,Alpha Chi Omega,Catch Her If You Can,Pigskin,,
2026,Alpha Delta Pi,Flight 1851,Participated,,
2026,Alpha Phi,No Strings Attached,Participated,Don't Stop 'til You Get Enough; Valerie; Blue Suede Shoes,https://www.youtube.com/watch?v=eIT8ehmzN3s
2026,Beta Upsilon Chi,Grill of Rights,1st,It's the Hard-Knock Life,https://www.youtube.com/watch?v=SZDV7DwYAB0
2026,Chi Omega & Alpha Tau Omega,Careful What You Witch For,Pigskin,Witchy Woman; Disturbia; Wake Me Up Before You Go Go; Little Less Conversation; Treasure; Blame it on the Boogie,https://www.youtube.com/watch?v=2pO4GQP9_fg
2026,Delta Delta Delta,When A Mouse Eats A Cookie,3rd,Just Can't Get Enough; Cell Block Tango; Freak Out,https://www.youtube.com/watch?v=1l_4Hj-6rqg
2026,Delta Tau Delta,Model Citizens,Participated,Poker Face; Poison,
2026,Kappa Alpha Order,Baylor's First Dance,Participated,Smells Like Teen Spirit; Iris,
2026,Kappa Alpha Theta,London's Calling,Participated,,https://www.youtube.com/watch?v=NM1vi7xdmqM
2026,Kappa Chi Alpha & Beta Theta Pi,Hollywood Breakdown,Participated,Popular; Applause; Fabulous,https://www.youtube.com/watch?v=DLq5Ud6y3Bo
2026,Kappa Kappa Gamma,Together We Can!,Pigskin,,
2026,Kappa Omega Tau,Banker's Paradise,Participated,,
2026,Kappa Sigma,So Fresh So Clean,Participated,,https://www.youtube.com/watch?v=aIwoK3vBdOc
2026,Phi Kappa Chi,Cold as Ice!,2nd,Let It Snow; Hot in Herre,https://www.youtube.com/watch?v=8EARtQSQGoY
2026,Pi Beta Phi,Out of the Box,Pigskin,Somebody to Love; Candyman; Nicest Kids in Town; P.Y.T; Shake Your Groove Thing; Hit Me with Your Best Shot; Smooth Operator; Lets Here it for the Boy,https://www.youtube.com/watch?v=DLq5Ud6y3Bo
2026,Sigma Alpha Epsilon,Bear-ly Made It,Participated,,
2026,Sing Alliance,Psst…I See Dead People,Participated,Calling All The Monsters; Ain't It Fun; Not Like Us,
2026,Zeta Tau Alpha & Sigma Chi,The Love Show,Participated,,
