year,group_dir,palette_hex,palette_proportions,n_images,image_source,avg_hue,avg_saturation,avg_brightness
2023,2023_Kappa_Alpha_Theta,#442336;#8D103A;#78454D;#183671;#642D74;#1F80A9;#2A30A7;#BD4249;#B58189;#A6D4D6,0.1700;0.1550;0.1513;0.1228;0.1010;0.0760;0.0750;0.0709;0.0519;0.0259,8,youtube,0.8557,0.6279,0.5134
2023,2023_Kappa_Chi_Alpha,#3B1D18;#593924;#7C5542;#A6745E;#CC9C81;#DFC6B7;#7E0813;#E61445;#7E036F;#84939E,0.1732;0.1642;0.1475;0.1240;0.1117;0.0723;0.0709;0.0701;0.0380;0.0281,5,bing,0.0325,0.5494,0.5369
2023,2023_Kappa_Kappa_Gamma,#37283E;#785353;#262B81;#811A3A;#A3846E;#714FAD;#D43E81;#E0A2A5;#1B35DA;#84B2DB,0.1609;0.1478;0.1174;0.1120;0.1117;0.0891;0.0802;0.0733;0.0628;0.0449,8,youtube,0.8617,0.5095,0.5798
2023,2023_Kappa_Omega_Tau,#5A5F3F;#3C3921;#7A725C;#1D8143;#B79184;#2FB76E;#324F6A;#124334;#9E9541;#4B76AD,0.2131;0.2014;0.1436;0.0771;0.0756;0.0674;0.0631;0.0621;0.0608;0.0359,8,youtube,0.2112,0.4635,0.4417
2023,2023_Kappa_Sigma,#452112;#6A341D;#765941;#A07E61;#CC9A7D;#2B384A;#B45434;#D9C7B4;#5777A4;#DBDB55,0.1852;0.1597;0.1383;0.1295;0.0971;0.0834;0.0788;0.0668;0.0427;0.0184,5,bing,0.0576,0.5373,0.5194
2023,2023_Phi_Gamma_Delta,#30384D;#27283A;#15123C;#1E204D;#3E4A63;#29276F;#536582;#687DAF;#413CA7;#9BB2D8,0.2098;0.1874;0.1628;0.1619;0.1060;0.0520;0.0509;0.0316;0.0237;0.0138,7,youtube,0.6452,0.4769,0.3319
2023,2023_Phi_Kappa_Chi,#344371;#6C5E71;#8C7F90;#3662A2;#43372D;#21234B;#4094D6;#994153;#C2B4AF;#CD6275,0.1389;0.1327;0.1320;0.1296;0.1237;0.1057;0.0740;0.0691;0.0552;0.0391,8,youtube,0.7534,0.4165,0.5178
2023,2023_Pi_Beta_Phi,#402430;#2C103F;#3D3854;#613B47;#5C4D70;#4C195A;#8B6785;#7F5B5B;#7F3170;#B48BA0,0.1511;0.1367;0.1257;0.1227;0.1116;0.1021;0.0963;0.0747;0.0510;0.0281,7,youtube,0.8399,0.4505,0.3798
2023,2023_Sigma_Alpha_Epsilon,#10203D;#1E3454;#274675;#436393;#5A85C2;#34272F;#494A55;#8CB5EC;#1D53B9;#8C5D68,0.2654;0.2162;0.1170;0.0990;0.0757;0.0709;0.0553;0.0388;0.0387;0.0229,7,youtube,0.6209,0.5889,0.4125
2023,2023_Sigma_Chi,#3A3B43;#12244F;#243B70;#6A5254;#0A0DAE;#5B66A4;#B08567;#A73940;#1465E4;#96B9E3,0.2076;0.1902;0.1503;0.1112;0.0845;0.0694;0.0621;0.0606;0.0384;0.0257,8,youtube,0.6725,0.5219,0.4678
2023,2023_Sing_Alliance,#1D3B21;#32443A;#1E2B3E;#20426E;#4B5854;#08144D;#5C7B83;#8CAB9C;#8F7151;#B4DDC7,0.2274;0.1840;0.1720;0.1023;0.0968;0.0724;0.0561;0.0362;0.0328;0.0200,8,youtube,0.4717,0.4460,0.3317
2023,2023_Zeta_Tau_Alpha,#514F47;#725763;#373D2C;#968076;#662B68;#3C2149;#5D7D4D;#864F8C;#B4B19E;#2A39B7,0.1773;0.1458;0.1262;0.1110;0.1068;0.0982;0.0981;0.0750;0.0458;0.0160,8,youtube,0.0289,0.3200,0.4216
2024,2024_Alpha_Chi_Omega,#3A373B;#644943;#846858;#481A20;#525569;#A68878;#767A97;#DFB39F;#CC9753;#A6B5D6,0.1855;0.1583;0.1432;0.1170;0.0968;0.0863;0.0768;0.0649;0.0445;0.0267,8,youtube,0.9426,0.3002,0.4684
2024,2024_Alpha_Delta_Pi,#764E48;#52747F;#A57061;#1477A1;#4A2C2B;#274B5A;#1D9DD3;#77A3B2;#C99D84;#BA1E31,0.1437;0.1217;0.1210;0.1177;0.1167;0.1013;0.0955;0.0719;0.0664;0.0441,8,youtube,0.7408,0.5243,0.5630
2024,2024_Alpha_Phi,#2B3147;#4F4F67;#5A5240;#7B7155;#344028;#4974BA;#33488C;#7C7390;#4D3DCF;#B59E94,0.1404;0.1305;0.1261;0.1219;0.1119;0.0926;0.0926;0.0865;0.0549;0.0425,7,youtube,0.6589,0.3809,0.4652
2024,2024_Alpha_Tau_Omega,#3D2F27;#615E50;#847F6F;#743638;#2D3486;#C3A890;#131A45;#B93450;#8FCEC0;#5161CF,0.2431;0.2023;0.1437;0.0950;0.0839;0.0601;0.0560;0.0421;0.0399;0.0339,8,youtube,0.0687,0.3719,0.4482
2024,2024_Beta_Theta_Pi,#442719;#0D404C;#066B6D;#79351F;#5E5451;#AD7B68;#A75E2A;#D3B2A6;#DF9F1A;#6B8D97,0.1691;0.1620;0.1575;0.1000;0.0876;0.0819;0.0802;0.0666;0.0630;0.0321,5,bing,0.0957,0.6484,0.4778
2024,2024_Beta_Upsilon_Chi_and_Kappa_Chi_Alpha,#1F2C5C;#3F5582;#4D3845;#45091A;#855553;#760316;#7D879F;#3525CF;#8455D6;#CAB699,0.2276;0.1736;0.1414;0.0943;0.0928;0.0895;0.0668;0.0477;0.0461;0.0201,7,youtube,0.7613,0.5692,0.4637
2024,2024_Chi_Omega,#4E3E3E;#7B6D63;#530414;#211A52;#35397F;#6A126B;#900523;#B69C8D;#B23861;#3F59C2,0.1620;0.1465;0.1266;0.1129;0.0983;0.0909;0.0844;0.0784;0.0553;0.0448,8,youtube,0.9260,0.5595,0.4611
2024,2024_Delta_Delta_Delta,#655A48;#9A8467;#232F42;#521D1B;#686890;#8D99B8;#CBB986;#4B2E69;#18618B;#C0D2E7,0.1610;0.1456;0.1293;0.1163;0.0870;0.0808;0.0804;0.0788;0.0628;0.0581,8,youtube,0.8803,0.4095,0.5132
2024,2024_Delta_Tau_Delta,#C49082;#9D7068;#161146;#6F4C4C;#452623;#373654;#E8BFB9;#6F628D;#471390;#AD4DC9,0.1574;0.1471;0.1363;0.1300;0.1231;0.1132;0.0589;0.0535;0.0428;0.0377,8,youtube,0.9187,0.4366,0.5132
2024,2024_Kappa_Alpha_Order,#AE9F80;#3E3529;#564D3A;#78694B;#8E8269;#264C2A;#D4C79E;#B3BB5F;#4D5F6D;#BCDFEF,0.1916;0.1720;0.1609;0.1537;0.1221;0.0638;0.0480;0.0426;0.0313;0.0141,8,youtube,0.1273,0.3280,0.4839
2024,2024_Kappa_Alpha_Theta,#353729;#4E4B36;#645D4F;#0E174E;#7F706D;#3E3159;#A28998;#122998;#DCA82C;#CBB7C7,0.2269;0.1904;0.1535;0.0976;0.0892;0.0762;0.0508;0.0506;0.0379;0.0269,7,youtube,0.0953,0.3609,0.3848
2024,2024_Kappa_Chi_Alpha_and_Beta_Upsilon_Chi,#1F2C5C;#3F5582;#4D3845;#45091A;#855553;#760316;#7D879F;#3525CF;#8455D6;#CAB699,0.2276;0.1736;0.1414;0.0943;0.0928;0.0895;0.0668;0.0477;0.0461;0.0201,7,youtube,0.7613,0.5692,0.4637
2024,2024_Kappa_Kappa_Gamma_and_Sigma_Chi,#815C41;#2D268E;#452B28;#796575;#B1886A;#091149;#4344CC;#31928C;#8EA4CA;#BE193B,0.2093;0.1676;0.1390;0.1048;0.1035;0.0744;0.0729;0.0668;0.0400;0.0217,8,youtube,0.8854,0.5332,0.5241
2024,2024_Kappa_Omega_Tau,#744F43;#9F7968;#4D211A;#634C91;#8A0A35;#C34F4C;#D5A78B;#3A1C5B;#B62285;#978AD7,0.1768;0.1273;0.1215;0.1002;0.0960;0.0897;0.0849;0.0767;0.0682;0.0586,8,youtube,0.9612,0.5498,0.5704
2024,2024_Phi_Gamma_Delta,#313739;#54713F;#604752;#415D73;#5884B6;#6FA4E1;#80907A;#B6CBE2;#92A53F;#D0D75A,0.3032;0.1143;0.1026;0.1025;0.0978;0.0975;0.0689;0.0402;0.0376;0.0355,8,youtube,0.5148,0.3265,0.4879
2024,2024_Phi_Kappa_Chi,#6A5B4B;#554A3B;#3D352C;#7C6F5F;#424D5C;#998975;#626280;#A56C4C;#7F91B4;#B5B08F,0.1816;0.1727;0.1593;0.1216;0.1112;0.0730;0.0700;0.0431;0.0338;0.0336,8,youtube,0.0804,0.2841,0.4250
2024,2024_Pi_Beta_Phi,#7D5E4D;#AB8277;#592425;#E1A7AD;#182A5E;#EAAF64;#715788;#CF723A;#B3222A;#86B3D7,0.1725;0.1424;0.1285;0.1060;0.0947;0.0884;0.0719;0.0694;0.0640;0.0623,8,youtube,0.9962,0.4856,0.6265
2024,2024_Sigma_Alpha_Epsilon,#3A2B22;#4A3E32;#665545;#866D5A;#A38A71;#BFA78A;#DCC3A3;#F2E6BD;#B7E5EB;#516567,0.2607;0.1705;0.1176;0.0946;0.0904;0.0830;0.0736;0.0549;0.0324;0.0222,8,youtube,0.0840,0.3261,0.4800
2024,2024_Sing_Alliance,#3B2F20;#111C4F;#1B3F73;#57502F;#817142;#4E6278;#052AA7;#A09070;#073FEF;#8295C7,0.1616;0.1544;0.1465;0.1364;0.1008;0.0791;0.0764;0.0593;0.0516;0.0340,8,youtube,0.6207,0.6006,0.4481
2024,2024_Tau_Kappa_Epsilon,#2E0A3F;#432B2A;#42116D;#173447;#60484E;#2D607B;#956F7F;#4E13B3;#D2A5B4;#A03A45,0.2388;0.1899;0.1255;0.1076;0.0949;0.0720;0.0567;0.0553;0.0316;0.0278,8,youtube,0.8229,0.6082,0.3783
2024,2024_Zeta_Tau_Alpha,#331944;#462675;#500F1B;#573B46;#8B212A;#862676;#6F6468;#663CB4;#B04F5A;#A98EC8,0.1749;0.1432;0.1382;0.1322;0.0997;0.0797;0.0792;0.0631;0.0600;0.0299,8,youtube,0.8665,0.5868,0.4408
2025,2025_Alpha_Chi_Omega,#3A1984;#3C3456;#4F4A82;#201840;#552DBE;#70031E;#6E6EA5;#AA052E;#776451;#A5A0CF,0.1809;0.1471;0.1318;0.1135;0.1016;0.1002;0.0855;0.0613;0.0416;0.0365,8,youtube,0.7387,0.6171,0.5039
2025,2025_Alpha_Delta_Pi,#AC0B17;#582618;#041E98;#657279;#0E2056;#BF7C3D;#E4D2B4;#869BB6;#1553DA;#CF247B,0.2209;0.1660;0.1434;0.1059;0.0959;0.0766;0.0641;0.0541;0.0397;0.0335,4,bing,0.8760,0.7083,0.5887
2025,2025_Alpha_Phi,#641D56;#8A4A5E;#444F69;#2F2934;#BE7D64;#A24EAF;#7A0F29;#4F7798;#E6BEA7;#77A0C8,0.1883;0.1685;0.1414;0.1054;0.0832;0.0728;0.0711;0.0709;0.0509;0.0475,8,youtube,0.8379,0.4933,0.5161
2025,2025_Alpha_Tau_Omega,#4A2D24;#203491;#85360C;#B53D0E;#8D5E42;#264BCE;#191F54;#D57D34;#6A569D;#D09C9C,0.1697;0.1418;0.1344;0.1106;0.1067;0.1046;0.1016;0.0646;0.0442;0.0217,7,youtube,0.9472,0.7097,0.5544
2025,2025_Beta_Upsilon_Chi,#10125F;#474447;#74685E;#B98E66;#4A1711;#0E2EA9;#953A23;#6580B7;#D8BC9D;#53079E,0.2195;0.1469;0.1434;0.1194;0.0984;0.0851;0.0500;0.0492;0.0488;0.0393,7,youtube,0.8768,0.5345,0.4897
2025,2025_Chi_Omega,#6D544D;#413233;#947863;#39416D;#586686;#C6A188;#3F5CBB;#A9192E;#C89239;#9AB6BD,0.2078;0.1653;0.1593;0.1161;0.0782;0.0776;0.0739;0.0561;0.0359;0.0297,8,youtube,0.9820,0.3864,0.5160
2025,2025_Delta_Delta_Delta,#1C2855;#46132F;#5F4247;#573581;#7B135A;#9B5766;#CE8098;#7883B1;#1149A5;#6D1EC3,0.1756;0.1454;0.1257;0.1203;0.1144;0.1069;0.0671;0.0581;0.0458;0.0407,8,youtube,0.8252,0.5962,0.4816
2025,2025_Delta_Tau_Delta,#AA0718;#062194;#6B7D90;#51251D;#122150;#83603D;#CDA461;#DDCFBA;#165ADC;#D22873,0.1703;0.1455;0.1307;0.1257;0.1186;0.0861;0.0807;0.0749;0.0347;0.0329,5,bing,0.8941,0.6673,0.5799
2025,2025_Kappa_Alpha_Theta,#3F3426;#584F41;#252F43;#82735E;#8B394D;#B09783;#B25373;#DA789E;#E2C9B2;#3F4F8C,0.2446;0.1769;0.1330;0.1022;0.0751;0.0746;0.0646;0.0603;0.0443;0.0245,8,youtube,0.0473,0.3790,0.4502
2025,2025_Kappa_Kappa_Gamma,#151947;#342A45;#442524;#3C466E;#A88663;#754D45;#5D70A4;#0F17C2;#89AFD7;#D6C591,0.2612;0.1909;0.1372;0.0943;0.0795;0.0731;0.0586;0.0421;0.0336;0.0295,8,youtube,0.7392,0.5146,0.4104
2025,2025_Kappa_Omega_Tau,#191D54;#76504D;#4B3535;#2E3A8D;#53081B;#907A7D;#3758CE;#E2C0B8;#D49A6C;#C94559,0.1565;0.1366;0.1357;0.1263;0.1253;0.0819;0.0711;0.0699;0.0565;0.0402,8,youtube,0.9056,0.5273,0.5096
2025,2025_Kappa_Sigma,#2F283A;#524F52;#877669;#5C3CAA;#172C77;#279386;#1557DD;#8E77D4;#27E6D8;#C2BE89,0.2045;0.1413;0.1372;0.1129;0.0921;0.0872;0.0627;0.0600;0.0528;0.0493,8,youtube,0.7201,0.4519,0.5224
2025,2025_Phi_Gamma_Delta,#0D123F;#141F59;#3B3034;#122F7F;#410A1C;#3A356C;#594946;#776A64;#690A27;#9B907B,0.2279;0.1853;0.1447;0.0905;0.0815;0.0641;0.0630;0.0606;0.0423;0.0401,7,youtube,0.7689,0.6005,0.3395
2025,2025_Pi_Beta_Phi_and_Phi_Kappa_Chi,#4D3030;#795F4C;#B88C6F;#6B578E;#1F334F;#E3BFA6;#A18BD5;#195F93;#44C2CF;#C22B4C,0.1307;0.1294;0.1226;0.1207;0.1152;0.0940;0.0931;0.0837;0.0568;0.0539,8,youtube,0.8931,0.4699,0.5890
2025,2025_Sigma_Chi,#44271E;#5D4231;#1A316A;#101E47;#7D6246;#274C8B;#1E553E;#285FC1;#59276E;#A27F84,0.1985;0.1918;0.1328;0.1292;0.1125;0.0811;0.0535;0.0368;0.0358;0.0280,8,youtube,0.9235,0.6028,0.3923
2025,2025_Sing_Alliance,#46372D;#6B5648;#4D1518;#0B0D50;#BEA699;#96796C;#D9CCC8;#303676;#6A67A6;#1F55D9,0.2132;0.1456;0.1256;0.1214;0.0871;0.0769;0.0728;0.0640;0.0532;0.0403,7,youtube,0.9946,0.4567,0.4662
2025,2025_Tau_Kappa_Epsilon,#0D1D4D;#1F3374;#420C10;#422A3A;#4F5F92;#6684CB;#6A5352;#881629;#AEC9E9;#AD8174,0.2317;0.1850;0.1465;0.0973;0.0937;0.0769;0.0671;0.0392;0.0324;0.0302,8,youtube,0.7228,0.6308,0.4310
2025,2025_Zeta_Tau_Alpha,#473991;#6F4257;#4D1D2C;#6B5FD3;#98697E;#282059;#C777AB;#DFA6D9;#890B2D;#C4114F,0.1384;0.1253;0.1208;0.1113;0.1070;0.0956;0.0801;0.0788;0.0783;0.0643,8,youtube,0.8470,0.5488,0.5819
2026,2026_Alpha_Chi_Omega,#48291F;#7F4B31;#3E3050;#E0C378;#9B7351;#6F516F;#A78C90;#BD9D43;#C1B4C8;#8F130E,0.1397;0.1330;0.1288;0.1258;0.1084;0.1007;0.0895;0.0777;0.0498;0.0467,3,bing,0.9987,0.4618,0.5477
2026,2026_Alpha_Delta_Pi,#AA0518;#302540;#946755;#6F493B;#52221A;#D0A097;#B58174;#E3BEC2;#CD207F;#DEA02D,0.2257;0.1251;0.1079;0.1044;0.1029;0.0972;0.0951;0.0736;0.0434;0.0247,3,bing,0.9893,0.5660,0.5917
2026,2026_Alpha_Phi,#482814;#B48D6F;#7C3819;#795F58;#EECD68;#A76829;#383050;#E5AB28;#E8CDA3;#A2B7D0,0.1714;0.1280;0.1261;0.1197;0.1083;0.0986;0.0882;0.0700;0.0652;0.0245,4,bing,0.0626,0.5594,0.5924
2026,2026_Beta_Upsilon_Chi,#54347B;#B18816;#A49048;#78673A;#56451C;#892E29;#331E3E;#F1E8C3;#CCC07D;#9D87AF,0.3333;0.1663;0.1118;0.0759;0.0690;0.0585;0.0538;0.0449;0.0433;0.0431,1,bing,0.9761,0.5905,0.5583
2026,2026_Chi_Omega_and_Alpha_Tau_Omega,#462B22;#906A49;#893E2E;#AD9150;#614D3C;#D4BC62;#BD9D81;#E6D196;#887586;#AEAFCF,0.1813;0.1356;0.1277;0.1208;0.1048;0.0952;0.0830;0.0754;0.0408;0.0353,1,bing,0.0675,0.4650,0.5759
2026,2026_Delta_Delta_Delta,#CAA491;#B2CAE7;#E2C8B4;#7F5E4B;#9C8575;#483634;#C7845F;#88ABD3;#608BA8;#36657C,0.1504;0.1390;0.1249;0.1182;0.1166;0.1009;0.0820;0.0733;0.0503;0.0445,5,bing,0.0369,0.3209,0.6938
2026,2026_Delta_Tau_Delta,#A58C74;#886F58;#C2A38F;#625143;#E1C3B4;#413329;#AFBFDD;#233554;#4C668A;#7990B3,0.1437;0.1387;0.1329;0.1209;0.1067;0.0999;0.0892;0.0598;0.0578;0.0503,5,bing,0.0555,0.3188,0.5978
2026,2026_Kappa_Alpha_Order,#C6A587;#3A3736;#9E6747;#BC8866;#73492D;#8A986C;#6A6151;#4D2814;#DFC7AC;#BF172A,0.1333;0.1325;0.1324;0.1245;0.1126;0.1007;0.0858;0.0775;0.0757;0.0250,5,bing,0.0804,0.3960,0.5623
2026,2026_Kappa_Alpha_Theta,#4A2301;#273337;#0E63E2;#615B3E;#94AFD6;#9C8760;#DEC29A;#1E6D15;#577193;#E5BA1A,0.4245;0.1495;0.1157;0.1044;0.0564;0.0491;0.0310;0.0288;0.0287;0.0120,4,bing,0.1299,0.6998,0.4416
2026,2026_Kappa_Chi_Alpha_and_Beta_Theta_Pi,#4F111F;#2C2C3D;#684942;#981114;#C39064;#79687A;#ED0D48;#E1C4B4;#A79AC2;#84047A,0.2480;0.1417;0.0954;0.0892;0.0891;0.0853;0.0773;0.0690;0.0574;0.0475,5,bing,0.9307,0.5490,0.5128
2026,2026_Kappa_Kappa_Gamma,#E9BEB7;#382F38;#D2A398;#13238F;#B18378;#667097;#484C5E;#7B5A46;#9AA1C3;#EEED05,0.1762;0.1652;0.1551;0.1314;0.0919;0.0709;0.0698;0.0672;0.0399;0.0325,4,bing,0.9059,0.3592,0.6234
2026,2026_Kappa_Omega_Tau,#A78D67;#C6A889;#E2C9AA;#422821;#5E423A;#8A604B;#212E44;#0C396B;#53708F;#A4B6D1,0.2248;0.1250;0.1216;0.1181;0.1127;0.0918;0.0891;0.0751;0.0220;0.0198,5,bing,0.0641,0.4249,0.5577
2026,2026_Kappa_Sigma,#342945;#DFB3AA;#C29C8C;#F3CABE;#987A6F;#4F506F;#68789C;#6D4451;#A3A5CD;#A85A9A,0.2151;0.1736;0.1493;0.1275;0.0760;0.0685;0.0622;0.0613;0.0376;0.0288,1,bing,0.9182,0.3031,0.6337
2026,2026_Phi_Kappa_Chi,#446BB4;#784A2F;#4C2D1D;#A46F49;#D69961;#EEC3A1;#6E91BD;#273D59;#ADAEE9;#C12E17,0.1629;0.1339;0.1283;0.1258;0.1035;0.0880;0.0861;0.0852;0.0635;0.0227,3,bing,0.9930,0.5373,0.6350
2026,2026_Sigma_Alpha_Epsilon,#6F6949;#554D37;#39332B;#8A825A;#433A6E;#8AABC6;#AF9E6E;#757898;#BCCCEC;#D5AF9F,0.1435;0.1409;0.1385;0.1312;0.1083;0.0946;0.0922;0.0615;0.0468;0.0426,4,bing,0.1056,0.3271,0.5103
2026,2026_Sing_Alliance,#492518;#7E3E24;#D1A089;#E8D0B8;#A17654;#686269;#E1903B;#23225E;#EB3649;#3E2EB9,0.2097;0.1525;0.1366;0.1289;0.1141;0.0679;0.0539;0.0534;0.0507;0.0324,5,bing,0.0296,0.5197,0.6020
2026,2026_Zeta_Tau_Alpha_and_Sigma_Chi,#462821;#B68F82;#734839;#826968;#B16A4F;#EAA97F;#523D68;#DBCCC1;#8491B9;#7ED69B,0.1616;0.1608;0.1374;0.1228;0.0933;0.0870;0.0824;0.0789;0.0465;0.0294,3,bing,0.0239,0.3855,0.5880
