year,group,theme,placement,song_title,song_artist,kaggle_track_name,kaggle_artist_name,kaggle_genre,kaggle_danceability,kaggle_energy,kaggle_valence,kaggle_tempo,kaggle_acousticness,kaggle_loudness,kaggle_popularity,kaggle_year,match_score
1973,Kappa Omega Tau,Lonely Hearts Club,Participated,Hey Jude,,Hey Jude,Roberta Flack,disco,0.585,0.259,0.678,165.97,0.882,-8.896,8.0,2012.0,100.0
1988,Zeta Tau Alpha,Back to Paradise,Participated,(I've Had) The Time of My Life,,(I've Had) The Time Of My Life,Glee Cast,club,0.459,0.77,0.168,110.706,0.0765,-5.993,24.0,2012.0,100.0
1990,Pi Beta Phi,I Ought to be in the Pictures,Participated,Singin' in the Rain,,Singin' in the Rain,Matthew Morrison,show-tunes,0.622,0.536,0.486,144.035,0.278,-5.674,21.0,2013.0,100.0
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Mercy,Duffy,Mercy,Duffy,soul,0.786,0.859,0.964,129.948,0.261,-3.744,0.0,2023.0,100.0
2011,Kappa Kappa Gamma,Who's Afraid of the Big Bad Wolf?,Pigskin,Be OK,Ingrid Michaelson,Be OK,Ingrid Michaelson,pop,0.82,0.788,0.933,133.019,0.127,-6.747,56.0,2008.0,100.0
2011,Kappa Sigma,Playin' Around at the Playground,Pigskin,Come Play Away,,Come Fly Away,Benny Benassi,edm,0.647,0.811,0.246,130.011,0.00981,-2.848,17.0,2008.0,88.9
2012,Alpha Chi Omega,Juke Box Heroes,Pigskin,Livin' On a Prayer,,Livin' on a Prayer,Richard Cheese,jazz,0.521,0.653,0.706,170.341,0.618,-4.551,28.0,2017.0,100.0
2016,Delta Tau Delta,Lost in the Jungle,Participated,Tarzan,Disney,Taipan,Distance,dubstep,0.807,0.766,0.434,140.006,0.0225,-7.879,0.0,2006.0,75.0
2016,Kappa Chi Alpha & Beta Upsilon Chi,Wonderful World,Participated,What a Wonderful World,,What A Wonderful World,Eva Cassidy,folk,0.432,0.177,0.0892,151.84,0.861,-13.362,41.0,2012.0,100.0
2016,Phi Gamma Delta,The Dance of the Dead,Participated,Thriller,Michael Jackson,Thriller,Michael Jackson,pop,0.764,0.887,0.72,118.427,0.0816,-3.726,65.0,2017.0,100.0
2016,Zeta Tau Alpha,We Have Awoken,Pigskin,Chandelier,Sia,Chandelier,Sia,pop,0.399,0.787,0.572,117.089,0.0197,-2.88,69.0,2015.0,100.0
2019,Alpha Delta Pi,Coming to You Live from ADPI,Participated,Good Morning Baltimore,,Good Morning Baltimore,Nikki Blonsky,show-tunes,0.628,0.832,0.744,133.037,0.191,-4.365,53.0,2007.0,100.0
2019,Alpha Delta Pi,Coming to You Live from ADPI,Participated,Shut Up and Drive,Rihanna,Shut Up And Drive,Rihanna,pop,0.735,0.826,0.74,132.964,0.00101,-4.902,62.0,2007.0,100.0
2019,Beta Upsilon Chi,Batter Up!,Participated,The Star Spangled Banner,,The Star Spangled Banner,Pat Boone,rock-n-roll,0.262,0.24,0.279,82.681,0.934,-13.18,2.0,2002.0,100.0
2019,Chi Omega,Can't Stop the Bees,2nd,Honey Honey,ABBA,"Honey, Honey",ABBA,swedish,0.439,0.701,0.796,140.642,0.201,-11.354,27.0,2012.0,97.3
2019,Kappa Omega Tau,The Night Before Christmas,1st,Look Down,Les Misérables,Desidia,Los Miserables,ska,0.494,0.626,0.744,100.06,0.00283,-13.273,17.0,2023.0,72.0
2019,Kappa Sigma,Finding Bigfoot,Pigskin,Kill the Beast,,Kill the Beast,Mystic Prophecy,german,0.536,0.97,0.231,99.992,3.45e-05,-4.82,26.0,2013.0,100.0
2019,Phi Gamma Delta,Phi Gam's Island,Participated,Gilligan's Island Theme,,Lines in the Sand,Wovenwar,metalcore,0.218,0.949,0.201,117.537,6e-05,-4.23,27.0,2016.0,70.0
2019,Pi Kappa Phi,Galactic Slam,Participated,Uprising,Muse,Uprising,Muse,rock,0.602,0.905,0.411,128.019,0.000202,-4.046,74.0,2009.0,100.0
2019,Zeta Tau Alpha,Livin' La Vida Mocha,Pigskin,That's Not My Name,The Ting Tings,That's Not My Name,The Ting Tings,dance,0.755,0.901,0.959,145.042,0.0451,-3.152,56.0,2007.0,100.0
2020,Delta Delta Delta,"Starlight, Star Bright",Participated,Hey Now,,Hey Now,Dave Barnes,acoustic,0.709,0.503,0.895,106.004,0.364,-12.701,11.0,2012.0,100.0
2020,Kappa Chi Alpha,Are We There Yet?,Participated,Phineas and Ferb Theme,,Shimmer and Shine Theme,The Kiddie Katz,party,0.771,0.763,0.281,118.948,0.556,-8.255,23.0,2017.0,75.6
2020,Kappa Chi Alpha,Are We There Yet?,Participated,I Want Candy,,I Want Candy,Aaron Carter,dance,0.787,0.904,0.954,110.029,0.00836,-4.483,47.0,2000.0,100.0
2020,Kappa Kappa Gamma & Kappa Sigma,The Ship of Dreams,1st,Beyond the Sea,,Beyond The Sea,John Tesh,new-age,0.652,0.494,0.421,137.844,0.269,-6.101,40.0,2012.0,100.0
2020,Kappa Omega Tau,The Magic of Mardi Gras,Participated,High Hopes,,High Hopes,Kodaline,pop,0.488,0.487,0.219,77.278,0.577,-6.371,65.0,2013.0,100.0
2020,Kappa Omega Tau,The Magic of Mardi Gras,Participated,The Greatest Show,,The Greatest Show,Hugh Jackman,show-tunes,0.417,0.824,0.4,157.92,0.000239,-7.36,70.0,2017.0,100.0
2020,Multicultural Alliance,Baylor Homecoming: Another Side,Participated,Lose You to Love Me,,Lose You to Love Me,Andromida,metalcore,0.54,0.779,0.216,103.013,0.143,-4.515,32.0,2019.0,100.0
2020,Sigma Alpha Epsilon & Alpha Phi,Saphi Can Do It!,Participated,I Need Somebody,,I Need Somebody,? & The Mysterians,garage,0.619,0.876,0.95,134.143,0.153,-6.388,3.0,2005.0,100.0
2020,Sigma Alpha Epsilon & Alpha Phi,Saphi Can Do It!,Participated,Woman Up,,Woman Up,Meghan Trainor,dance,0.755,0.751,0.27,104.942,0.00848,-4.322,52.0,2017.0,100.0
2022,Alpha Phi,Magic in Phi,Pigskin,Bibbidi Bobbidi Boo,Helena Bonham Carter,Bidi Bidi Bom Bom,Selena,pop,0.569,0.721,0.927,180.06,0.102,-5.889,64.0,2010.0,70.6
2022,Alpha Phi,Magic in Phi,Pigskin,Gimme Gimme Gimme,ABBA,"Gimme, Gimme, Gimme",Blackfoot,blues,0.473,0.953,0.671,152.996,0.0493,-6.344,27.0,2018.0,80.0
2022,Alpha Phi,Magic in Phi,Pigskin,Magic,Selena Gomez,Magic,Selena Gomez,dance,0.6,0.916,0.442,104.091,0.00504,-3.071,48.0,2009.0,100.0
2022,Alpha Phi,Magic in Phi,Pigskin,Magic,B.o.B.,Magic,Boj,dancehall,0.795,0.652,0.961,105.994,0.353,-5.643,31.0,2017.0,80.0
2022,Alpha Phi,Magic in Phi,Pigskin,Oops I Did it Again,Britney Spears,Oops!...I Did It Again,Britney Spears,dance,0.751,0.834,0.894,95.053,0.3,-5.444,77.0,2000.0,90.7
2022,Alpha Phi,Magic in Phi,Pigskin,Working for the Weekend,Loverboy,Working for the Weekend,Loverboy,hard-rock,0.349,0.961,0.569,144.28,0.000133,-3.478,8.0,2012.0,100.0
2022,Alpha Tau Omega,,Pigskin,All My Rowdy Friends are Coming Over Tonight,Hank Williams Jr.,All My Rowdy Friends Are Coming Over Tonight,"Hank Williams, Jr.",country,0.607,0.904,0.877,146.831,0.13,-7.693,16.0,2012.0,99.2
2022,Alpha Tau Omega,,Pigskin,Hey Brother,Avicii,Hey Brother,Avicii,dance,0.545,0.78,0.458,125.014,0.0309,-4.867,77.0,2013.0,100.0
2022,Alpha Tau Omega,,Pigskin,I'll Fly Away,The Dillards,I'll Fly Away,The Dillards,country,0.468,0.0974,0.655,109.659,0.946,-11.668,21.0,2005.0,100.0
2022,Alpha Tau Omega,,Pigskin,I'll Make A Man Out of You,Donny Osmond,"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",Donny Osmond,pop,0.678,0.425,0.536,113.855,0.158,-13.476,45.0,2013.0,75.9
2022,Alpha Tau Omega,,Pigskin,Lost Boy,Ruth B,Lost Boy,Ruth B.,pop,0.71,0.0565,0.348,123.994,0.965,-15.099,70.0,2015.0,97.1
2022,Alpha Tau Omega,,Pigskin,Second Star to the Right,Jonatha Brook,Second Star to the Right,Jon Sarta,piano,0.675,0.134,0.114,84.204,0.99,-18.714,29.0,2017.0,78.9
2022,Alpha Tau Omega,,Pigskin,Wild Ones,Flo Rida,Wild Ones,Flo Rida,dance,0.608,0.86,0.437,127.075,0.1,-5.324,1.0,2023.0,100.0
2022,Chi Omega,Taken for Granite,Pigskin,All By Myself,Celine Dion,All by Myself,Eric Carmen,disco,0.377,0.342,0.176,116.949,0.697,-13.844,29.0,2010.0,77.8
2022,Chi Omega,Taken for Granite,Pigskin,Bohemian Rhapsody,Queen,Bohemian Rhapsody,Queen,rock,0.397,0.386,0.21,144.242,0.271,-10.405,65.0,2006.0,100.0
2022,Chi Omega,Taken for Granite,Pigskin,Edge of Seventeen,Stevie Nicks,Edge of Seventeen,Stevie Nicks,rock,0.59,0.828,0.636,111.353,0.277,-6.28,66.0,2007.0,100.0
2022,Chi Omega,Taken for Granite,Pigskin,Feel Again,OneRepublic,Feel Again,OneRepublic,piano,0.467,0.815,0.335,140.047,0.0198,-7.929,56.0,2014.0,100.0
2022,Chi Omega,Taken for Granite,Pigskin,I Will Survive,Gloria Gaynor,I Will Survive,Gloria Gaynor,disco,0.648,0.648,0.406,119.27,0.0372,-11.528,46.0,2012.0,100.0
2022,Chi Omega,Taken for Granite,Pigskin,Staying Alive,Lizzo,Stayin Alive,Axxis,german,0.56,0.869,0.902,103.984,0.0237,-6.097,19.0,2012.0,78.0
2022,Chi Omega,Taken for Granite,Pigskin,Welcome to the 60's,The Hit Crew,Welcome To The Club,The Prophet,hardstyle,0.531,0.906,0.338,155.006,0.0849,-3.738,17.0,2017.0,74.6
2022,Delta Delta Delta,We Got the Reef,2nd,Holding out for a Hero,Bonnie Tyler,Holding Out For A Hero,Bonnie Tyler,disco,0.498,0.932,0.328,147.905,0.000599,-3.129,30.0,2004.0,100.0
2022,Delta Delta Delta,We Got the Reef,2nd,Hooked on a Feeling,Blue Swede,Hooked On A Feeling,Blue Swede,pop,0.547,0.82,0.933,118.208,0.261,-6.728,64.0,2014.0,100.0
2022,Delta Delta Delta,We Got the Reef,2nd,How Far I'll Go (Reprise),Auli'I Cravalho,How Far I'll Go,Auli'i Cravalho,show-tunes,0.571,0.307,0.108,83.72,0.649,-10.958,22.0,2017.0,86.8
2022,Delta Delta Delta,We Got the Reef,2nd,Rock Lobster,The B-52's,Rock Lobster,The B-52's,dance,0.597,0.88,0.461,92.21,0.00947,-8.277,15.0,2002.0,100.0
2022,Delta Delta Delta,We Got the Reef,2nd,Run The World (Girls),Beyonce,Run the World (Girls),Beyoncé,dance,0.732,0.899,0.759,127.091,0.00496,-4.237,71.0,2011.0,96.8
2022,Delta Delta Delta,We Got the Reef,2nd,We Got the Beat,The Go-Go's,We Got The Beat,Dora The Explorer,party,0.76,0.939,0.776,151.882,0.36,-4.726,6.0,2004.0,75.0
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,At the Hop,Danny and the Juniors,At The Hop,Danny & The Juniors,rock-n-roll,0.407,0.826,0.891,192.21,0.693,-8.29,11.0,2021.0,90.9
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,Crusin' for a Brusin',Ross Lynch and Grace Phipps,"Cruisin' for a Bruisin' - From ""Teen Beach Movie""",Ross Lynch,pop,0.585,0.911,0.781,163.933,0.0263,-4.623,63.0,2013.0,70.8
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,Rock this Town,Brian Setzer,Rock This Town - Live,Brian Setzer,rock-n-roll,0.319,0.968,0.37,107.94,0.0318,-5.391,2.0,2012.0,89.2
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,This Cat's on a Hot Tin Roof,The Brian Setzer Orchestra,This Cat's on a Hot Tin Roof - Live,Brian Setzer,rock-n-roll,0.446,0.966,0.609,98.737,0.0114,-4.292,3.0,2012.0,80.4
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,We Go Together,Sugar Factory Singers,Lets Get Together,Suga Free,funk,0.965,0.367,0.702,123.021,0.0334,-13.554,11.0,2006.0,68.7
2022,Kappa Kappa Gamma,Dine 'n Dance,3rd,Wild Child,Lee Rocker,Here Now,Wild Child,folk,0.508,0.139,0.357,170.067,0.982,-15.138,26.0,2015.0,77.3
2022,Kappa Omega Tau,It's a Gnome's World,1st,I Can't Get No Satisfaction,The Rolling Stones,(I Can't Get No) Satisfaction - Mono,The Rolling Stones,rock,0.723,0.878,0.917,136.295,0.0382,-6.962,25.0,2023.0,89.5
2022,Kappa Omega Tau,It's a Gnome's World,1st,It's  Man's Man's Man's World,James Brown,"It's A Man's, Man's, Man's World - Live",James Brown,funk,0.496,0.228,0.585,133.558,0.0779,-13.917,20.0,2006.0,88.4
2022,Kappa Omega Tau,It's a Gnome's World,1st,Rapper's Delight,The Sugarhill Gang,Rapper's Delight,The Sugarhill Gang,electro,0.914,0.754,0.827,111.69,0.0717,-9.669,46.0,2017.0,100.0
2022,Kappa Omega Tau,It's a Gnome's World,1st,Respect,Aretha Franklin,Respect,Aretha Franklin,soul,0.805,0.558,0.965,114.95,0.164,-5.226,0.0,2023.0,100.0
2022,Kappa Omega Tau,It's a Gnome's World,1st,Superstition,Stevie Wonder,Superstition,Stevie Wonder,funk,0.611,0.636,0.879,99.744,0.0265,-11.865,32.0,2002.0,100.0
2022,Kappa Omega Tau,It's a Gnome's World,1st,That's Just the Way We Roll,Jonas Brothers,That's Just The Way We Roll,Jonas Brothers,dance,0.558,0.855,0.768,150.039,0.0048,-3.374,50.0,2007.0,100.0
2022,Kappa Sigma,,Pigskin,Come With me Now,Kongos,Come with Me Now,KONGOS,alt-rock,0.654,0.726,0.728,103.987,0.0311,-3.803,65.0,2014.0,100.0
2022,Kappa Sigma,,Pigskin,Give up the Funk,Parliament,Parliament Funk,Knife Party,edm,0.654,0.994,0.314,127.995,0.00157,-2.392,25.0,2015.0,75.9
2022,Kappa Sigma,,Pigskin,Old Time Rock and Roll,Bob Seger,Old Time Rock And Roll - Remastered 2011,Bob Seger,country,0.715,0.938,0.964,124.128,0.205,-3.01,38.0,2011.0,79.1
2022,Kappa Sigma,,Pigskin,Play Something Country,Brooks and Dunn,Play Something Country,Brooks & Dunn,country,0.685,0.909,0.864,115.043,0.0782,-3.797,26.0,2012.0,92.3
2022,Kappa Sigma,,Pigskin,Rock with You,Michael Jackson,You Rock My World,Michael Jackson,pop,0.854,0.673,0.955,95.0,0.038,-3.132,66.0,2001.0,84.8
2022,Kappa Sigma,,Pigskin,These Will Be the Good Old Days (Twenty Years From Now),Judy Holliday,,,,,,,,,,,,
2022,Kappa Sigma,,Pigskin,Uptown Funk,Bruno Mars,Count on Me,Bruno Mars,pop,0.589,0.389,0.501,89.1,0.851,-5.972,73.0,2010.0,75.0
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,Dig it,D-Tent Boys,G Code,Geto Boys,funk,0.605,0.859,0.592,94.072,0.0727,-2.341,54.0,2005.0,68.4
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,Finesse,Bruno Mars,Finesse,Bruno Mars,dance,0.741,0.798,0.939,104.953,0.00781,-5.342,69.0,2016.0,100.0
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,Greedy,Ariana Grande,Greedy,Ariana Grande,dance,0.619,0.705,0.844,109.975,0.0323,-5.335,57.0,2016.0,100.0
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,Like I Can,Sam Smith,Like I Can,Sam Smith,pop,0.656,0.627,0.481,99.933,0.343,-6.627,78.0,2014.0,100.0
2022,Pi Beta Phi & Phi Kappa Chi,,Pigskin,You are my Vision,Rend Connect,You Are My Vision,Rend Collective,alt-rock,0.495,0.77,0.251,123.013,0.0196,-14.424,37.0,2012.0,89.6
2023,Alpha Chi Omega,,Participated,You Make My Dreams (Come True),Hall & Oates,Your Dreams Have Come True,Sloan,power-pop,0.628,0.508,0.442,156.056,0.00679,-10.057,5.0,2001.0,70.9
2023,Alpha Chi Omega,,Participated,...Ready for It?,Taylor Swift,...Ready For It?,Taylor Swift,pop,0.613,0.764,0.417,160.015,0.0527,-6.509,75.0,2017.0,100.0
2023,Alpha Chi Omega,,Participated,Little Girls (Criminals),Cast of Annie the Musical,,,,,,,,,,,,
2023,Alpha Chi Omega,,Participated,Save The City,Hawkeye Vol. 2,Key To The City,Sorry,psych-rock,0.568,0.561,0.322,133.086,0.553,-9.453,37.0,2022.0,67.9
2023,Alpha Chi Omega,,Participated,I'm a Believer,Bowling for Soup,Belgium,Bowling For Soup,punk,0.459,0.819,0.58,167.22,8.64e-05,-4.489,11.0,2000.0,78.0
2023,Alpha Chi Omega,,Participated,Call Me,Blondie,Call Me,Blondie,power-pop,0.557,0.825,0.768,142.648,0.000644,-6.707,10.0,2020.0,100.0
2023,Alpha Delta Pi,I30-pi,Participated,Shut Up and Drive,Rihanna,Shut Up And Drive,Rihanna,pop,0.735,0.826,0.74,132.964,0.00101,-4.902,62.0,2007.0,100.0
2023,Alpha Delta Pi,I30-pi,Participated,Fire Burning,Sean Kingston,Fire Burning,Sean Kingston,dance,0.839,0.804,0.888,122.973,0.0192,-2.513,70.0,2009.0,100.0
2023,Alpha Delta Pi,I30-pi,Participated,Dance of the Little Swans,Tchaikovsky,Swan Lake- Dance of the Swans,Pyotr Ilyich Tchaikovsky,classical,0.513,0.0173,0.536,107.59,0.868,-36.286,49.0,2009.0,77.9
2023,Alpha Delta Pi,I30-pi,Participated,You'll Always Find Your Way Back Home,Hannah Montana,You'll Always Find Your Way Back Home,Hannah Montana,dance,0.577,0.906,0.692,152.946,0.0304,-3.673,65.0,2009.0,100.0
2023,Alpha Delta Pi,I30-pi,Participated,Hard Working Man,Brooks & Dunn,Neon Moon,Brooks & Dunn,country,0.698,0.632,0.458,102.408,0.554,-6.508,38.0,2012.0,73.7
2023,Alpha Delta Pi,I30-pi,Participated,Workin on the Highway,Bruce Springsteen,Working On The Highway - Live,Bruce Springsteen,singer-songwriter,0.381,0.708,0.518,93.064,0.821,-8.213,9.0,2013.0,91.1
2023,Alpha Delta Pi,I30-pi,Participated,Take on Me,Ha,Take On Me,a-ha,rock,0.535,0.913,0.811,169.197,0.0107,-6.874,2.0,2023.0,93.8
2023,Alpha Phi,Hotel Phiasco!,Participated,Zack and Cody Theme Song,Cast of Suite Life of Zack and Cody,,,,,,,,,,,,
2023,Alpha Phi,Hotel Phiasco!,Participated,Celebration,Kool and the Gang,Celebration,Kool & The Gang,disco,0.857,0.782,0.899,120.763,0.139,-5.633,0.0,2023.0,90.0
2023,Alpha Phi,Hotel Phiasco!,Participated,You Make Me Feel,Cobra Starship,You Make Me Feel...,Cobra Starship,punk,0.668,0.858,0.755,131.959,0.0189,-2.944,0.0,2023.0,95.7
2023,Alpha Phi,Hotel Phiasco!,Participated,Dancing in the Kitchen,Tim Kubart,dancing in the kitchen,LANY,pop,0.619,0.736,0.299,93.993,0.0328,-7.651,65.0,2021.0,81.2
2023,Alpha Phi,Hotel Phiasco!,Participated,Big Girls Don't Cry,Fergie,Big Girls Don't Cry (Personal),Fergie,dance,0.707,0.642,0.249,113.083,0.204,-4.271,65.0,2006.0,83.6
2023,Alpha Phi,Hotel Phiasco!,Participated,Mr. Lonely,Akon,Lonely,Akon,dance,0.627,0.627,0.555,90.061,0.367,-5.861,0.0,2023.0,86.7
2023,Alpha Phi,Hotel Phiasco!,Participated,Feel it Still,Portugal. The Man,Feel It Still - Medasin Remix,Portugal. The Man,alt-rock,0.536,0.463,0.148,157.736,0.532,-10.623,48.0,2017.0,80.5
2023,Alpha Phi,Hotel Phiasco!,Participated,Be Our Guest,Disney,Burnt Tongues,Your Demise,hardcore,0.168,0.994,0.143,195.973,8.75e-06,-2.623,18.0,2010.0,70.8
2023,Beta Theta Pi,Man Or Mathlete,Participated,Fantasy,Mariah Carey,Fantasy,Mariah Carey,dance,0.652,0.741,0.818,102.35,0.109,-7.394,33.0,2001.0,100.0
2023,Beta Theta Pi,Man Or Mathlete,Participated,Changes,David Bowie,Let's Dance,David Bowie,rock,0.649,0.656,0.764,114.698,0.00566,-9.317,36.0,2009.0,73.9
2023,Beta Theta Pi,Man Or Mathlete,Participated,All-Star,Smash Mouth,All Star,Smash Mouth,alt-rock,0.731,0.867,0.776,104.02,0.0394,-5.881,0.0,2023.0,77.3
2023,Beta Theta Pi,Man Or Mathlete,Participated,You Belong with Me,Taylor Swift,You Belong With Me,Taylor Swift,pop,0.687,0.783,0.443,129.964,0.162,-4.44,68.0,2008.0,100.0
2023,Beta Theta Pi,Man Or Mathlete,Participated,I Won't Say (I'm in Love),Disney / Hercules Cast,I Won't Say (I'm in Love),Carrie Hope Fletcher,show-tunes,0.624,0.596,0.618,121.632,0.213,-7.061,43.0,2018.0,75.5
2023,Beta Theta Pi,Man Or Mathlete,Participated,Man or a Muppet,Muppets Cast,,,,,,,,,,,,
2023,Beta Theta Pi,Man Or Mathlete,Participated,Want U Back,Cher Lloyd,Want U Back,Cher Lloyd,dance,0.694,0.891,0.563,97.939,0.0562,-2.94,62.0,2012.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Somethings Got a Hold on Me,Christina Aguilera,Something's Got A Hold On Me,Etta James,blues,0.458,0.566,0.569,150.315,0.7,-6.382,31.0,2021.0,74.2
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Sharp Dressed Man,ZZ Top,Sharp Dressed Man,ZZ Top,blues,0.683,0.645,0.391,126.666,0.024,-12.32,26.0,2014.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,"Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",Roy Orbison,rock-n-roll,0.66,0.568,0.759,126.631,0.183,-7.827,16.0,2014.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Johnny B. Goode,Chuck Berry,Johnny B. Goode,Chuck Berry,blues,0.545,0.877,0.97,167.691,0.756,-6.105,37.0,2013.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Come on Eileen,Dexys Midnight Runners,Come On Eileen - Single Edit,Dexys Midnight Runners,pop,0.41,0.874,0.824,107.08,0.197,-4.286,61.0,2009.0,84.8
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,24K Magic,Bruno Mars,24K Magic,Bruno Mars,dance,0.818,0.803,0.632,106.97,0.034,-4.282,77.0,2016.0,100.0
2023,Chi Omega & Alpha Tau Omega,A Day at the Derby,1st,Rockin’ on Top of the World,Steven Tyler,Rockin' on Top of the World,Steven Tyler,country,0.559,0.909,0.742,115.107,0.0618,-3.937,36.0,2004.0,97.6
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Real Gone,Sheryl Crow,Real Gone,Sheryl Crow,pop,0.608,0.785,0.806,117.983,0.00173,-5.346,67.0,2006.0,100.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,R.O.C.K. in the USA,John Mellencamp,Rural Route,John Mellencamp,singer-songwriter,0.467,0.372,0.322,91.367,0.735,-8.783,7.0,2007.0,75.8
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,DAnger Zone,Kenny Loggins,Undying,Danger Zone,heavy-metal,0.567,0.853,0.5,107.978,0.000391,-3.001,1.0,2022.0,75.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Rolling in the Deep,Adele,Rolling in the Deep,Adele,pop,0.73,0.769,0.507,104.948,0.138,-5.114,79.0,2011.0,100.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Don't Stop Me Now,Queen,Don't Quit Me Now,Savoy,dub,0.575,0.888,0.253,87.483,0.00172,-3.579,27.0,2018.0,80.0
2023,Delta Delta Delta,Delta Motor Speedway,Pigskin,Good to be Alive (Hallelujah),Andy Grammar,Good To Be Alive (Hallelujah),Andy Grammer,pop,0.797,0.896,0.685,120.037,0.0349,-3.678,57.0,2015.0,97.7
2023,Delta Tau Delta,Under the Big Top,Participated,Jungle,X Ambassadors,Jungle,X Ambassadors,alt-rock,0.389,0.748,0.216,78.056,0.000821,-4.461,58.0,2015.0,100.0
2023,Delta Tau Delta,Under the Big Top,Participated,Circus,Britney Spears,Circus,Britney Spears,dance,0.791,0.733,0.761,114.98,0.147,-5.215,73.0,2008.0,100.0
2023,Delta Tau Delta,Under the Big Top,Participated,Entrance of the Gladiators,Julius Fučík,Look Is Deceiving,The Gladiators,dub,0.632,0.541,0.7,79.229,0.152,-7.592,35.0,2001.0,66.7
2023,Delta Tau Delta,Under the Big Top,Participated,Welcome to the Party,"Diplo, French Montana, Lil Pump","Welcome to the Party (with Lil Pump, Juicy J, Famous Dex, & French Montana) - Remix",Diplo,dance,0.693,0.893,0.515,171.971,0.0829,-0.257,52.0,2018.0,71.7
2023,Delta Tau Delta,Under the Big Top,Participated,Forget You,Cee Lo Green,Forget You,CeeLo Green,hip-hop,0.696,0.875,0.772,127.39,0.134,-3.682,63.0,2010.0,89.8
2023,Delta Tau Delta,Under the Big Top,Participated,Leave a Light On,Tom Walker,Leave a Light On,Tom Walker,folk,0.586,0.624,0.267,68.976,0.0153,-5.946,69.0,2017.0,100.0
2023,Delta Tau Delta,Under the Big Top,Participated,Rocket Man,Elton John,Rocket Man - Live,Elton John,piano,0.436,0.6,0.243,138.417,0.375,-8.027,35.0,2000.0,86.8
2023,Delta Tau Delta,Under the Big Top,Participated,Show Goes On,Lupe Fiasco,The Show Goes On,Lupe Fiasco,hip-hop,0.591,0.889,0.65,143.067,0.0189,-3.839,68.0,2011.0,92.9
2023,Kappa Alpha Theta,,Participated,Baba O-Riley,The Who,Baba O'Riley,The Who,blues,0.392,0.578,0.173,117.712,0.405,-12.972,25.0,2014.0,95.5
