year,group,theme,placement,song_title,song_artist,kaggle_track_name,kaggle_artist_name,kaggle_genre,kaggle_danceability,kaggle_energy,kaggle_valence,kaggle_tempo,kaggle_acousticness,kaggle_loudness,kaggle_popularity,kaggle_year,match_score
2024,Kappa Alpha Order,,Participated,Voodoo Child,Jimi Hendrix,Voodoo Child (Slight Return),Jimi Hendrix,blues,0.375,0.91,0.424,87.455,0.494,-6.597,26.0,2001.0,77.1
2024,Kappa Alpha Order,,Participated,Heads Will Roll,Yeah Yeah Yeahs,Heads Will Roll,Yeah Yeah Yeahs,alt-rock,0.562,0.903,0.791,132.013,0.000187,-4.46,0.0,2023.0,100.0
2024,Kappa Alpha Order,,Participated,Fight For Your Right,Beastie Boys,Fight for Your Right,Deez Nuts,hardcore,0.47,0.935,0.589,142.816,0.000109,-4.403,30.0,2008.0,74.6
2024,Kappa Alpha Order,,Participated,Stay Stay Stay,Taylor Swift,Stay Stay Stay,Taylor Swift,pop,0.729,0.748,0.928,99.981,0.307,-6.67,46.0,2012.0,100.0
2024,Kappa Alpha Order,,Participated,Ballroom Blitz,Sweet,Ballroom Blitz,Sweet,blues,0.626,0.879,0.878,108.434,0.0228,-6.6,57.0,2017.0,100.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,West End Blues,Louis Armstrong,West End Blues,Louis Armstrong & His Hot Five,jazz,0.602,0.206,0.41,83.693,0.986,-12.063,26.0,2004.0,81.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,"Theme from New York, New York",Frank Sinatra,"Theme from New York, New York",The Ten Tenors,opera,0.515,0.276,0.605,109.78,0.467,-10.558,12.0,2014.0,76.9
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Please Don't Stop the Music,Rihanna,Don't Stop The Music,Rihanna,pop,0.835,0.669,0.542,122.668,0.0336,-5.582,69.0,2007.0,89.6
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Evacuate the Dance Floor,Casandra,Evacuate the Dancefloor,Cascada,dance,0.76,0.696,0.903,127.029,0.0195,-5.811,46.0,2012.0,79.4
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Pump It,Black Eyed Peas,Pump It,Black Eyed Peas,dance,0.649,0.931,0.744,153.645,0.0093,-3.15,68.0,2005.0,100.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,All of the Lights,Kanye West,All Of The Lights,Coone,hardstyle,0.575,0.971,0.327,150.061,0.0888,-3.199,55.0,2023.0,80.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Dance the Night,Dua Lipa,Dance Last Night,The Gants,garage,0.68,0.648,0.962,132.086,0.122,-9.304,2.0,2000.0,81.5
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,"Sing, Sing, Sing",Benny Goodman,"Sing, Sing, Sing",Benny Goodman,jazz,0.62,0.67,0.295,113.492,0.853,-11.575,50.0,2007.0,100.0
2024,Kappa Alpha Theta,The Great KATsby,Pigskin,Uptown Girl,Billy Joel,Uptown Girl,Billy Joel,folk,0.65,0.241,0.615,84.34,0.16,-14.067,24.0,2014.0,100.0
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Friends On The Other Side,Princess and The Frog Cast,On The Other Side Of The Tracks,Faith Prince,show-tunes,0.501,0.386,0.515,52.692,0.78,-11.304,0.0,2000.0,70.0
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Pure Imagination,Charlie and the Chocolate Factory,"Pure Imagination (from ""Charlie and the Chocolate Factory"")",Josh Groban,opera,0.268,0.266,0.0752,120.24,0.868,-12.376,37.0,2015.0,73.6
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Another Day of Sun,La La Land,Another Land,Dave Holland,jazz,0.512,0.0464,0.488,138.79,0.948,-28.676,37.0,2021.0,72.4
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Wildest Dreams,Taylor Swift,Wildest Dreams,Taylor Swift,pop,0.554,0.666,0.472,140.056,0.0702,-7.414,71.0,2014.0,100.0
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Wonderland,Taylor Swift,Wonderland,Taylor Swift,pop,0.422,0.692,0.197,184.014,0.0493,-5.447,63.0,2014.0,100.0
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Bad to the Bone,George Thoroughgood and The Destroyers,Bad To The Bone,George Thorogood & The Destroyers,hard-rock,0.338,0.862,0.687,99.073,0.00226,-5.919,19.0,2017.0,91.6
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Dream On,Aerosmith,Dream On,Aerosmith,hard-rock,0.412,0.528,0.174,79.96,0.298,-6.613,17.0,2014.0,100.0
2024,Kappa Chi Alpha & Beta Upsilon Chi,,Participated,Carry on Wayward Son,Kansas,Carry on Wayward Son,Kansas,hard-rock,0.474,0.78,0.803,126.748,0.00282,-5.736,18.0,2014.0,100.0
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,Saturday in the Park,Chicago,Saturday in the Park - 2002 Remaster,Chicago,folk,0.67,0.763,0.61,114.398,0.155,-6.864,30.0,2002.0,78.9
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,I Want You To Want Me,Cheap Trick,I Want You to Want Me - Live,Cheap Trick,power-pop,0.52,0.908,0.644,106.79,6.01e-05,-6.584,1.0,2018.0,90.9
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,Sir Duke,Stevie Wonder,Sir Duke,Stevie Wonder,funk,0.586,0.58,0.955,106.648,0.166,-9.75,47.0,2022.0,100.0
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,Have You Ever Seen The Rain,Creedence Clearwater Revival,Have You Ever Seen The Rain - Mono Single,Creedence Clearwater Revival,country,0.773,0.735,0.821,115.973,0.0787,-4.568,21.0,2009.0,89.2
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,You Can't Hurry Love,The Supremes,You Can't Hurry Love,The Supremes,disco,0.709,0.692,0.624,96.624,0.199,-4.903,0.0,2023.0,100.0
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,Right Back Where We Started,Maxine Nightingale,Right Back Where We Started From,Maxine Nightingale,pop,0.692,0.653,0.901,148.018,0.49,-5.715,58.0,2019.0,95.0
2024,Kappa Kappa Gamma & Sigma Chi,A Walk in the Park,Participated,This Will Be (An Everlasting Love),Natalie Cole,I Will Not Be Moved,Natalie Grant,alt-rock,0.53,0.877,0.21,117.953,0.00869,-3.693,29.0,2008.0,66.7
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Hard to Handle,Black Crows,Hard to Handle,The Black Crowes,blues,0.479,0.879,0.688,98.215,0.00997,-7.139,25.0,2017.0,91.8
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Sweet Gingerbread Man,Sammy Davis Jr,The Gingerbread Man,Pokey Bear,soul,0.716,0.78,0.743,134.98,0.256,-4.9,13.0,2013.0,65.7
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Everybody,Backstreet Boys,Everyone,Backstreet Boys,dance,0.685,0.963,0.916,110.025,0.0254,-2.675,51.0,2000.0,90.6
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Can You Feel It,The Jackson 5,Can You Feel It,The Jacksons,disco,0.897,0.697,0.881,125.332,0.0521,-5.53,23.0,2004.0,95.1
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,Boy Are Back In Town,The Bus Boys,The Boys Are Back In Town,Everclear,alt-rock,0.498,0.955,0.246,148.688,0.000394,-4.038,26.0,2008.0,77.8
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,I Feel Better,Gotye,I Feel Better,Hot Chip,alt-rock,0.598,0.672,0.338,125.086,0.0134,-5.291,43.0,2010.0,80.0
2024,Kappa Omega Tau,Sweet Gingerbread Man,1st,I Just Died In Your Arms,Cutting Crew,Die In Your Arms,Justin Bieber,pop,0.568,0.877,0.738,171.723,0.0309,-5.094,49.0,2012.0,70.4
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Wellerman,The Longest Johns,The Wellerman,Alestorm,metal,0.741,0.775,0.934,102.075,0.254,-6.757,41.0,2021.0,75.5
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Help!,Beatles,Help!,The Beatles,psych-rock,0.552,0.734,0.846,94.887,0.221,-7.126,55.0,2006.0,88.2
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Ain’t No Mountain High Enough,Marvin Gaye,Ain't No Mountain High Enough,Marvin Gaye,funk,0.665,0.698,0.797,130.098,0.452,-7.615,22.0,2013.0,97.7
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Eye of the Tiger,Survivor,Eye of the Tiger,Survivor,rock,0.815,0.438,0.552,108.966,0.216,-14.522,35.0,2014.0,100.0
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Safe and Sound,Capitol Cities,Safe And Sound,Capital Cities,rock,0.655,0.819,0.766,117.956,0.000176,-4.852,81.0,2013.0,96.8
2024,Phi Gamma Delta,USS Fiji: Sailors Against the Deep,Participated,Brandy (You’re a Fine Girl),Looking Glass,Brandy (You're a Fine Girl),Walt's Piano,piano,0.349,0.117,0.171,131.109,0.985,-24.172,14.0,2023.0,75.3
2024,Phi Kappa Chi,The Good Newsies,3rd,Land Of 1000 Dances,Wilson Pickett,Land of 1000 Dances,Wilson Pickett,funk,0.618,0.588,0.768,86.903,0.0128,-11.624,28.0,2016.0,100.0
2024,Phi Kappa Chi,The Good Newsies,3rd,Go Tell It To The Mountian,Josh Turner,I'm No Stranger To The Rain,Josh Turner,country,0.509,0.598,0.277,88.012,0.605,-7.537,38.0,2020.0,71.6
2024,Phi Kappa Chi,The Good Newsies,3rd,"Signed, Sealed, Delivered",Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,funk,0.643,0.764,0.827,109.067,0.0111,-5.49,29.0,2002.0,87.2
2024,Phi Kappa Chi,The Good Newsies,3rd,Paint It Black,Rolling Stones,"Paint It, Black",The Rolling Stones,rock,0.496,0.858,0.773,159.69,0.0133,-7.927,0.0,2023.0,92.5
2024,Phi Kappa Chi,The Good Newsies,3rd,Tell Her About It,Billy Joel,Tell Her About It,Billy Joel,folk,0.566,0.892,0.751,183.216,0.00683,-5.209,34.0,2001.0,100.0
2024,Phi Kappa Chi,The Good Newsies,3rd,Think,Aretha Franklin,Think,Aretha Franklin,blues,0.687,0.661,0.88,109.743,0.48,-9.689,8.0,2007.0,100.0
2024,Phi Kappa Chi,The Good Newsies,3rd,Proud Mary,Tina Turner,Proud Mary,Tina Turner,disco,0.371,0.7,0.364,174.825,0.0713,-3.944,25.0,2004.0,100.0
2024,Pi Beta Phi,Our State Fair,Participated,Let's Go Crazy,Prince,Go Crazy,Medasin,electronic,0.837,0.628,0.492,127.014,0.208,-9.971,30.0,2020.0,73.2
2024,Pi Beta Phi,Our State Fair,Participated,Misery,Maroon 5,Misery,Maroon 5,pop,0.704,0.81,0.726,102.98,0.000315,-4.874,62.0,2010.0,100.0
2024,Pi Beta Phi,Our State Fair,Participated,Troublemaker,Olly Murs,Troublemaker,Grizfolk,alt-rock,0.566,0.819,0.525,112.91,0.00203,-5.246,45.0,2015.0,76.6
2024,Pi Beta Phi,Our State Fair,Participated,Welcome To The Jungle,Guns n' Roses,Welcome To The Jungle,Guns N' Roses,hard-rock,0.44,0.98,0.324,123.412,0.0258,-4.963,41.0,2020.0,100.0
2024,Pi Beta Phi,Our State Fair,Participated,You May Be Right,Billy Joel,You May Be Right,Billy Joel,folk,0.563,0.947,0.963,150.8,0.175,-7.245,39.0,2001.0,100.0
2024,Pi Beta Phi,Our State Fair,Participated,Runaway Baby,Bruno Mars,Runaway Baby,Bruno Mars,dance,0.658,0.762,0.823,163.864,0.263,-3.028,70.0,2010.0,100.0
2024,Pi Beta Phi,Our State Fair,Participated,Uptight (Everything’s Alright),Glee Cast / Stevie Wonder,Uptight (Everything's Alright),Stevie Wonder,funk,0.578,0.756,0.88,134.209,0.136,-5.064,24.0,2002.0,86.5
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Suit and Tie,Justin Timberlake,Not a Bad Thing,Justin Timberlake,pop,0.308,0.563,0.109,85.901,0.527,-9.169,54.0,2013.0,80.6
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Runaway,Bon Jovi,Runaway,Bon Jovi,metal,0.466,0.844,0.606,153.014,0.00456,-6.65,43.0,2017.0,100.0
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Sh-Boom,The Chords,Soon,The Cars,hard-rock,0.454,0.545,0.131,167.989,0.0162,-7.783,25.0,2011.0,74.3
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Hopelessly Devoted to You,Glee Cast,Hopelessly Devoted to You,PIG,industrial,0.451,0.508,0.369,149.817,0.0504,-10.703,7.0,2019.0,79.4
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Love Runs Out,OneRepublic,Love Runs Out,OneRepublic,piano,0.719,0.935,0.738,120.022,0.167,-3.752,62.0,2014.0,100.0
2024,Sigma Alpha Epsilon,Cold Feet,Participated,Midnight Sky,Miley Cyrus,Midnight Sky,Miley Cyrus,pop,0.699,0.805,0.232,109.976,0.00161,-5.535,78.0,2020.0,100.0
2024,Sing Alliance,The Buzz at the Bee,Pigskin,Counting Stars,One Republic,Counting Stars,OneRepublic,piano,0.664,0.705,0.477,122.017,0.0654,-4.972,76.0,2014.0,98.2
2024,Sing Alliance,The Buzz at the Bee,Pigskin,I Was Made For Loving You,Kiss,I Was Made For Lovin' You,KISS,hard-rock,0.723,0.863,0.898,128.476,0.0509,-5.674,23.0,2017.0,96.9
2024,Sing Alliance,The Buzz at the Bee,Pigskin,No Scrubs,TLC,No Scrubs,TLC,dance,0.799,0.633,0.548,92.901,0.0552,-5.502,41.0,2013.0,100.0
2024,Sing Alliance,The Buzz at the Bee,Pigskin,Goodbye Stranger,Supertramp,Goodbye Stranger,Supertramp,piano,0.425,0.712,0.336,125.014,0.598,-6.25,25.0,2005.0,100.0
2024,Sing Alliance,The Buzz at the Bee,Pigskin,Bad Blood,Taylor Swift,Bad Blood,Taylor Swift,pop,0.65,0.802,0.295,170.146,0.0871,-6.114,68.0,2014.0,100.0
2024,Sing Alliance,The Buzz at the Bee,Pigskin,SOS,ABBA,SOS,ABBA,swedish,0.389,0.565,0.508,124.469,0.0599,-9.947,31.0,2012.0,100.0
2024,Sing Alliance,The Buzz at the Bee,Pigskin,Since You've Been Gone,Kelly Clarkson,Since U Been Gone,Kelly Clarkson,dance,0.661,0.76,0.425,131.0,0.00193,-4.882,47.0,2012.0,93.2
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,Mambo Italiano,Dean Martin,Mambo Italiano,Anna Maria Kaufmann,show-tunes,0.677,0.842,0.558,140.156,0.534,-5.909,0.0,2012.0,75.0
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,Fly Me To The Moon,Frank Sinatra,Fly Me to the Moon,Sungha Jung,acoustic,0.497,0.108,0.233,64.432,0.913,-19.61,24.0,2017.0,78.8
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,That's Amore,Dean Martin,That's Amore,André Rieu,opera,0.158,0.49,0.421,61.351,0.555,-7.12,41.0,2014.0,78.4
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,Ave Maria,Renee Fleming / Franz Schubert,Ave Maria,Franz Schubert,classical,0.237,0.122,0.119,84.963,0.989,-19.907,12.0,2002.0,76.5
2024,Tau Kappa Epsilon,Papa Tiki's Balliamo!,Pigskin,Get Cha Head In The Game,High School Musical,Can I Have This Dance,High School Musical Cast,dance,0.555,0.619,0.426,136.069,0.203,-5.246,63.0,2008.0,76.6
2024,Zeta Tau Alpha,Panic at the Disco,Participated,The Chain,Fleetwood Mac,Thrown Down,Fleetwood Mac,rock,0.626,0.791,0.864,129.976,0.527,-5.735,52.0,2003.0,76.9
2024,Zeta Tau Alpha,Panic at the Disco,Participated,Boogie Wonderland,"Earth, Wind, & Fire",Boogie Wonderland,"Earth, Wind & Fire",disco,0.803,0.763,0.963,131.714,0.0895,-10.785,40.0,2014.0,98.7
2024,Zeta Tau Alpha,Panic at the Disco,Participated,Boogie Shoes,Glee Cast / KC & The Sunshine Band,Boogie Shoes,KC & The Sunshine Band,disco,0.935,0.883,0.965,113.996,0.458,-7.876,21.0,2017.0,86.0
2024,Zeta Tau Alpha,Panic at the Disco,Participated,All Night Dancin,The Jacksons,Bring On The Night,Alan Jackson,country,0.603,0.328,0.187,79.09,0.139,-10.406,30.0,2002.0,81.2
2024,Zeta Tau Alpha,Panic at the Disco,Participated,Hungry like the wolf,Duran Duran,Hungry Like The Wolf,Duran Duran,dance,0.671,0.833,0.587,129.624,0.0322,-8.31,24.0,2008.0,100.0
2024,Zeta Tau Alpha,Panic at the Disco,Participated,Get Down On It,Kool & the Gang,Get Down On It,Kool & The Gang,disco,0.851,0.558,0.968,111.524,0.086,-8.819,1.0,2023.0,100.0
2024,Zeta Tau Alpha,Panic at the Disco,Participated,What I like About You,The Romantics,What I Like About You,The Romantics,power-pop,0.512,0.94,0.924,159.853,0.288,-8.412,16.0,2014.0,100.0
2024,Zeta Tau Alpha,Panic at the Disco,Participated,I Wanna Dance With Somebody,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance,0.7,0.913,0.832,118.821,0.204,-5.38,29.0,2014.0,85.7
2024,Zeta Tau Alpha,Panic at the Disco,Participated,The Safety Dance,Men Without Hats,Stay With Me,The Dictators,blues,0.426,0.98,0.395,158.725,0.00205,-5.056,31.0,2018.0,73.0
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Jolene,Dolly Parton,Jolene,Dolly Parton,country,0.683,0.529,0.774,110.551,0.546,-11.535,23.0,2003.0,100.0
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Seven Nation Army,The White Stripes,Seven Nation Army,The White Stripes,blues,0.741,0.469,0.313,123.904,0.00601,-7.627,23.0,2014.0,100.0
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Revenge Party,Mean Girls,Revenge Party,Grey Henson,show-tunes,0.525,0.702,0.653,99.787,0.241,-4.747,53.0,2018.0,79.2
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,These Boots Are Made for Walking,Nancy Sinatra,These Boots Are Made for Walkin',Nancy Sinatra,folk,0.628,0.42,0.337,165.304,0.395,-10.547,64.0,2021.0,97.9
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Ces Bottes Sont Faites Pour Marcher,Eileen,Ces bottes sont faites pour marcher,Emilie-Claire Barlow,jazz,0.706,0.272,0.266,112.25,0.829,-11.909,46.0,2012.0,84.3
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Edge of Glory,Lady Gaga,The Edge Of Glory,Lady Gaga,dance,0.583,0.766,0.395,127.95,0.000348,-6.47,0.0,2023.0,92.6
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Maniac,Michael Sembello,Intimacy,Michael Somerville,comedy,0.433,0.524,0.464,84.78,0.967,-18.725,2.0,2005.0,74.1
2025,Alpha Chi Omega,Let Them Eat Cake!,Pigskin,Viva La Vida,Coldplay,Viva La Vida,Coldplay,pop,0.486,0.617,0.417,138.015,0.0954,-7.115,0.0,2023.0,100.0
2025,Alpha Delta Pi,The Diamond Salon,Participated,New Day,Alicia Keys,New Day,Alicia Keys,soul,0.493,0.81,0.422,193.592,0.0166,-6.026,41.0,2012.0,100.0
2025,Alpha Delta Pi,The Diamond Salon,Participated,Kids in America,Kim Wilde,Kids in America,LEN,pop,0.51,0.849,0.303,167.387,0.0022,-4.718,33.0,2000.0,83.3
2025,Alpha Delta Pi,The Diamond Salon,Participated,Venus,Bananarama,Venus,Bananarama,disco,0.685,0.957,0.892,126.104,0.0223,-4.403,41.0,2017.0,100.0
2025,Alpha Delta Pi,The Diamond Salon,Participated,Please Please Please,Sabrina Carpenter,Please Please Please,The Blasters,rock-n-roll,0.464,0.587,0.742,118.391,0.605,-6.571,7.0,2012.0,74.7
2025,Alpha Delta Pi,The Diamond Salon,Participated,Never Gonna Give You Up,Rick Astley,Never Gonna Give You Up,Rick Astley,disco,0.724,0.984,0.925,113.331,0.137,-6.499,22.0,2018.0,100.0
2025,Alpha Delta Pi,The Diamond Salon,Participated,Hair Up,Trolls,Habits,PUP,emo,0.246,0.791,0.301,133.537,0.000814,-3.583,32.0,2022.0,71.4
2025,Alpha Delta Pi,The Diamond Salon,Participated,Hair,Lady Gaga,Hair,Lady Gaga,dance,0.57,0.923,0.403,135.006,0.00116,-3.433,45.0,2011.0,100.0
2025,Alpha Phi,Escaping Ivy Manor,Participated,Mad World,Gary Jules,Mad World,Buyer Beware,psych-rock,0.414,0.336,0.16,87.637,0.868,-8.519,12.0,2019.0,73.9
2025,Alpha Phi,Escaping Ivy Manor,Participated,Break Free,Ariana Grande,Break Free,Ariana Grande,dance,0.687,0.702,0.284,129.956,0.0064,-5.324,75.0,2014.0,100.0
2025,Alpha Phi,Escaping Ivy Manor,Participated,The House is Haunted,Mark Almond,This House Is Haunted,I Am Kloot,acoustic,0.306,0.7,0.0742,113.041,0.162,-7.336,0.0,2003.0,76.5
2025,Alpha Phi,Escaping Ivy Manor,Participated,I'm Coming Out,Diana Ross,I'm Coming Out,Diana Ross,disco,0.762,0.874,0.788,109.846,0.0945,-6.559,46.0,2017.0,100.0
2025,Alpha Phi,Escaping Ivy Manor,Participated,I Think We're Alone Now,Tiffany,I Think We're Alone Now,Tiffany,pop,0.646,0.892,0.7,130.297,3.76e-05,-5.406,45.0,2008.0,100.0
2025,Alpha Phi,Escaping Ivy Manor,Participated,Smooth Criminal,Michael Jackson,Smooth Criminal - Immortal Version,Michael Jackson,pop,0.826,0.938,0.731,118.161,0.133,-4.866,55.0,2011.0,77.6
2025,Alpha Phi,Escaping Ivy Manor,Participated,Tainted Love,Soft Cell,Tainted Love,Soft Cell,pop,0.569,0.493,0.616,143.221,0.106,-9.112,46.0,2009.0,100.0
2025,Alpha Tau Omega,Underneath the Tree,2nd,Larger Than Life,Backstreet Boys,Larger Than Life,Backstreet Boys,dance,0.652,0.967,0.782,108.03,0.103,-3.772,39.0,2001.0,100.0
2025,Alpha Tau Omega,Underneath the Tree,2nd,Maneater,Hall & Oates,Maneater,Daryl Hall & John Oates,rock,0.65,0.493,0.831,177.503,0.0145,-12.159,43.0,2001.0,80.7
2025,Alpha Tau Omega,Underneath the Tree,2nd,Free Bird,Lynyrd Skynyrd,Free Bird,Lynyrd Skynyrd,blues,0.18,0.872,0.311,150.672,0.0761,-6.842,15.0,2005.0,100.0
2025,Alpha Tau Omega,Underneath the Tree,2nd,Dance Machine,The Jackson 5,Medicine,The Last Dance,goth,0.381,0.776,0.439,180.276,3.28e-05,-7.363,1.0,2015.0,74.1
2025,Alpha Tau Omega,Underneath the Tree,2nd,The Nutcracker (Act 1: March),London Symphony Orchestra (George Balanchine),"Chinese Dance from The Nutcracker Suite, Op. 71a",London Symphony Orchestra,classical,0.552,0.277,0.898,125.277,0.963,-16.278,22.0,2010.0,65.4
2025,Alpha Tau Omega,Underneath the Tree,2nd,You Don't Mess Around With Jim,Jim Croce,You Don't Mess Around With Jim,Jim Croce,country,0.702,0.749,0.968,163.782,0.479,-6.362,44.0,2017.0,100.0
2025,Alpha Tau Omega,Underneath the Tree,2nd,Papa's Got A Brand New Bag,James Brown,Papa's Got A Brand New Bag - Pt. 1,James Brown,funk,0.774,0.718,0.9,129.423,0.564,-8.94,17.0,2014.0,90.9
2025,Alpha Tau Omega,Underneath the Tree,2nd,Run Rudolph Run,Chuck Berry,Run Rudolph Run,Chuck Berry,rock-n-roll,0.677,0.906,0.954,151.908,0.831,-3.861,17.0,2017.0,100.0
2025,Alpha Tau Omega,Underneath the Tree,2nd,Underneath the Tree,Kelly Clarkson,Underneath the Tree,Kelly Clarkson,dance,0.509,0.812,0.689,159.878,0.00128,-5.439,57.0,2013.0,100.0
2025,Beta Upsilon Chi,Gone Fishin',Participated,Fishin' in the Dark,Nitty Gritty Dirt Band,Fishing In The Dark,Nitty Gritty Dirt Band,country,0.765,0.494,0.91,77.724,0.31,-7.348,71.0,2017.0,97.7
2025,Beta Upsilon Chi,Gone Fishin',Participated,Up Down,Morgan Wallen,Cover Me Up,Morgan Wallen,country,0.525,0.437,0.195,127.994,0.236,-8.285,57.0,2019.0,80.0
2025,Beta Upsilon Chi,Gone Fishin',Participated,Jesus Take the Wheel,Carrie Underwood,"Jesus, Take the Wheel",Carrie Underwood,country,0.285,0.511,0.138,152.05,0.657,-2.981,38.0,2014.0,98.7
2025,Beta Upsilon Chi,Gone Fishin',Participated,Shut Up and Fish,Maddy & Tay,Stand Up And Shout,ASTERISM,heavy-metal,0.419,0.945,0.208,105.967,2.31e-05,-5.676,3.0,2018.0,67.8
2025,Beta Upsilon Chi,Gone Fishin',Participated,I'm Gonna Miss Her,Brad Paisley,I'm Gonna Miss Her,Brad Paisley,country,0.559,0.464,0.351,98.354,0.55,-9.687,61.0,2001.0,100.0
2025,Beta Upsilon Chi,Gone Fishin',Participated,Careless Whisper,George Michael,Careless Whisper - Remastered,George Michael,dance,0.596,0.641,0.792,76.59,0.138,-8.88,51.0,2006.0,83.5
2025,Beta Upsilon Chi,Gone Fishin',Participated,All Summer Long,Kid Rock,All Summer Long,Kid Rock,metal,0.7,0.864,0.887,102.997,0.0212,-3.629,28.0,2015.0,100.0
2025,Chi Omega,Back on Track,1st,Trashin' the Camp,Phil Collins,In the Air Tonight,Phil Collins,rock,0.429,0.233,0.268,189.567,0.538,-14.292,46.0,2014.0,70.8
